term,estimate,std.error,statistic,p.value,conf.low,conf.high,city,lag,pct,pct_low,pct_high,n_obs,city_key,city_order,panel_row,panel_col,significant_05,effect_direction
post11,-14.00111843779258,0.000119589132071666,-117076.84632581956,0.0,-14.001352828184384,-14.000884047400778,Cleveland,11,-99.9999169400774,-99.99991695954358,-99.9999169206067,54790,cleveland,17,4,2,True,significant_suppression
post12,-3.08760410745176,0.7936875708257446,-3.8902009064340617,0.00010016126166753597,-4.643203161247302,-1.5320050536562178,Cleveland,12,-95.43888971000688,-99.03731880429416,-78.38980633435156,54790,cleveland,17,4,2,True,significant_suppression
post1,-0.4388841574411789,0.0754233137755568,-5.818945568305331,5.92200135512793e-09,-0.586711136035934,-0.2910571788464238,Columbia,1,-35.52445345732502,-44.38466069695739,-25.252706284411357,60269,columbia,18,4,3,True,significant_suppression
post2,-0.334901149028529,0.0885743344977113,-3.781017954328321,0.000156188408305948,-0.5085036545986469,-0.1612986434584111,Columbia,2,-28.45911982875905,-39.86051997847233,-14.89621237423786,60269,columbia,18,4,3,True,significant_suppression
post3,-0.2667699382855429,0.1155333346604877,-2.309030022109956,0.0209419153391802,-0.4932111132339119,-0.0403287633371738,Columbia,3,-23.415075621061465,-38.9337663444015,-3.952638127208097,60269,columbia,18,4,3,True,significant_suppression
post4,-0.2099262917140152,0.1114256406645444,-1.8840034525447755,0.0595645084621937,-0.428316534370824,0.0084639509427935,Columbia,4,-18.93560050524259,-34.839487326699334,0.8499871447182894,60269,columbia,18,4,3,False,not_significant
post5,0.1178700516893202,0.092119262615046,1.2795375076099271,0.20070784025468,-0.0626803853185568,0.2984204886971974,Columbia,5,12.509789729630928,-6.07563782283187,34.77283732976877,60269,columbia,18,4,3,False,not_significant
post6,0.0583286579983198,0.0823255701787571,0.7085120439696723,0.4786273355511281,-0.1030264945587687,0.2196838105554084,Columbia,6,6.006333675896758,-9.789692765797277,24.568279656019065,60269,columbia,18,4,3,False,not_significant
post7,-0.0802354532789541,0.094134710647207,-0.8523471600147178,0.3940214383014432,-0.2647360958425789,0.1042651892846707,Columbia,7,-7.710097879800937,-23.259155446581293,10.989474808646492,60269,columbia,18,4,3,False,not_significant
post8,-0.3849989541553396,0.0727754258530344,-5.290232927428304,1.22160683449459e-07,-0.5276361677868522,-0.2423617405238271,Columbia,8,-31.954865214937566,-41.00020211621814,-21.52277577225281,60269,columbia,18,4,3,True,significant_suppression
post9,0.0532622753669025,0.1265149962557389,0.4209957470910206,0.6737581874162394,-0.1947025607985655,0.3012271115323706,Columbia,9,5.47062323108205,-17.692056225864437,35.151625161221524,60269,columbia,18,4,3,False,not_significant
post10,-0.1529684213507326,0.1235299515134768,-1.238310381219928,0.2156009959866667,-0.3950826773291263,0.0891458346276609,Columbia,10,-14.184317918322254,-32.637565651504296,9.32400769610908,60269,columbia,18,4,3,False,not_significant
post11,0.0782321806783695,0.0591209414360065,1.3232566799202494,0.1857500326311938,-0.037642735268305,0.1941070966250441,Columbia,11,8.137370360513764,-3.694305428153655,21.422631553351717,60269,columbia,18,4,3,False,not_significant
post12,-0.1584326908783061,0.1781638161086826,-0.8892529040894577,0.3738671761721228,-0.5076273537995413,0.1907619720429289,Columbia,12,-14.651959112567258,-39.807796606679126,21.017136317876982,60269,columbia,18,4,3,False,not_significant
post1,-0.0982261666484144,0.1445349650701422,-0.6796014140989737,0.4967568740444977,-0.3815094926926479,0.185057159395819,Columbus,1,-9.355612680351877,-31.717009586708123,20.32872173323843,109580,columbus,19,4,4,False,not_significant
post2,-0.2343583409731359,0.1208209650620793,-1.9397158502476752,0.0524142322157227,-0.4711630810721836,0.0024463991259117,Columbus,2,-20.892171066500108,-37.57242374511779,0.2449394001976079,109580,columbus,19,4,4,False,not_significant
post3,0.0215750331641008,0.2037704336471416,0.1058791149331368,0.9156782647800296,-0.3778076778984054,0.4209577442266071,Columbus,3,2.180945705774384,-31.463770169077133,52.34199037624276,109580,columbus,19,4,4,False,not_significant
post4,0.3603487667736945,0.1580125507397703,2.2805072450678314,0.0225776215844044,0.0506498582184368,0.6700476753289522,Columbus,4,43.3829399419883,5.195449557004972,95.43304917640158,109580,columbus,19,4,4,True,significant_enhancement
post5,0.1571205251604579,0.143445428651973,1.095333093825272,0.2733707340718145,-0.1240273487443191,0.438268399065235,Columbus,5,17.013663630821753,-11.664431811629338,55.00208757484022,109580,columbus,19,4,4,False,not_significant
post6,0.0053145122923392,0.1762871310460974,0.030146910105137,0.9759498888615916,-0.3402019154959045,0.3508309400805829,Columbus,6,0.5328659363282862,-28.83733801866667,42.02471987378558,109580,columbus,19,4,4,False,not_significant
post7,0.2638885005859485,0.139878041346982,1.886561307584696,0.0592193551061231,-0.0102674226821407,0.5380444238540378,Columbus,7,30.198301786379236,-1.0214892634328732,71.26543592046997,109580,columbus,19,4,4,False,not_significant
post8,0.2119287616553816,0.1210284325102082,1.7510659045964787,0.0799345584167355,-0.025282607169963,0.4491401304807264,Columbus,8,23.6059827086057,-2.4965678601964303,56.696422126489,109580,columbus,19,4,4,False,not_significant
post9,-0.1935363464529988,0.1524127491235689,-1.269817305743162,0.2041497147965485,-0.4922598455199326,0.1051871526139349,Columbus,9,-17.596011527613996,-38.87564836941664,11.091850220290311,109580,columbus,19,4,4,False,not_significant
post10,-0.1543156332991689,0.1691074108971476,-0.9125302816742008,0.3614896362623875,-0.4857600681763945,0.1771288015780565,Columbus,10,-14.299851988671552,-38.47705972810667,19.378484459705447,109580,columbus,19,4,4,False,not_significant
post11,0.1985057413232278,0.1747857171228287,1.135709167721812,0.2560783024700329,-0.1440679692495222,0.541079451895978,Columbus,11,21.95790293915603,-13.417110368112406,71.78602091652483,109580,columbus,19,4,4,False,not_significant
post12,0.1571205251604625,0.1556964666163245,1.009146376761698,0.3129044391109215,-0.1480389419276762,0.4622799922486014,Columbus,12,17.013663630822286,-13.760246913413988,58.76897818295062,109580,columbus,19,4,4,False,not_significant
post1,-10.19698050150264,1.0000000000000002e-06,-10196980.50150264,0.0,-10.196982461466623,-10.196978541538655,Corpus Christi,1,-99.9962717275976,-99.99627173490488,-99.99627172029032,21916,corpuschristi,20,4,5,True,significant_suppression
post2,-10.196980501506989,1e-06,-10196980.501506988,0.0,-10.196982461470972,-10.196978541543002,Corpus Christi,2,-99.99627172759762,-99.99627173490488,-99.99627172029034,21916,corpuschristi,20,4,5,True,significant_suppression
post3,-10.196980501504012,1.0000000000000002e-06,-10196980.50150401,0.0,-10.196982461467996,-10.196978541540028,Corpus Christi,3,-99.9962717275976,-99.99627173490488,-99.99627172029032,21916,corpuschristi,20,4,5,True,significant_suppression
post4,-10.196980501504244,1.0000000000000002e-06,-10196980.50150424,0.0,-10.196982461468227,-10.196978541540258,Corpus Christi,4,-99.9962717275976,-99.99627173490488,-99.99627172029032,21916,corpuschristi,20,4,5,True,significant_suppression
post5,-10.196980501504418,1.0000000000000002e-06,-10196980.501504418,0.0,-10.196982461468403,-10.196978541540432,Corpus Christi,5,-99.9962717275976,-99.99627173490488,-99.99627172029032,21916,corpuschristi,20,4,5,True,significant_suppression
post6,-10.196980501506465,1.0000000000000002e-06,-10196980.50150646,0.0,-10.196982461470448,-10.196978541542478,Corpus Christi,6,-99.9962717275976,-99.99627173490488,-99.99627172029034,21916,corpuschristi,20,4,5,True,significant_suppression
post7,-10.19698050150642,1.0000000000000002e-06,-10196980.501506418,0.0,-10.196982461470403,-10.196978541542435,Corpus Christi,7,-99.9962717275976,-99.99627173490488,-99.99627172029034,21916,corpuschristi,20,4,5,True,significant_suppression
post8,-10.196980501506436,1e-06,-10196980.501506437,0.0,-10.19698246147042,-10.19697854154245,Corpus Christi,8,-99.9962717275976,-99.99627173490488,-99.99627172029034,21916,corpuschristi,20,4,5,True,significant_suppression
post9,-10.196980501506433,1.0000000000000002e-06,-10196980.50150643,0.0,-10.196982461470416,-10.196978541542446,Corpus Christi,9,-99.9962717275976,-99.99627173490488,-99.99627172029034,21916,corpuschristi,20,4,5,True,significant_suppression
post10,-10.196980501505225,1.0000000000000004e-06,-10196980.501505218,0.0,-10.196982461469208,-10.196978541541238,Corpus Christi,10,-99.9962717275976,-99.99627173490488,-99.99627172029032,21916,corpuschristi,20,4,5,True,significant_suppression
post11,-10.19698050150769,1e-06,-10196980.50150769,0.0,-10.196982461471675,-10.196978541543706,Corpus Christi,11,-99.99627172759762,-99.99627173490488,-99.99627172029034,21916,corpuschristi,20,4,5,True,significant_suppression
