city_key,lag,city,city_order,panel_row,panel_col,model_available,estimate,std.error,p.value,conf.low,conf.high,pct,pct_low,pct_high,n_obs,significant_05,effect_direction
boston,2,Boston,9,2,4,True,0.7775333327542073,0.0478914788838934,2.837789915492516e-59,0.6836677589754158,0.8713989065329989,117.60979303864735,98.11307329976528,139.02522553204486,43832.0,True,significant_enhancement
boston,3,Boston,9,2,4,True,0.5411445546905505,0.1153836237807817,2.7325875718851497e-06,0.314996807674499,0.7672923017066019,71.7972050306096,37.02549366502375,115.39261685479292,43832.0,True,significant_enhancement
boston,4,Boston,9,2,4,True,0.2309896263867178,0.194954844826581,0.2360820770007457,-0.1511148480849757,0.6130941008584115,25.98461702244792,-14.025104753184236,84.61346978937698,43832.0,False,not_significant
boston,5,Boston,9,2,4,True,0.2816333592056257,0.1952312999051892,0.1491437431835257,-0.1010129572634831,0.6642796756747346,32.52927245220574,-9.607867953673344,94.30903618590708,43832.0,False,not_significant
boston,6,Boston,9,2,4,True,0.4197836976864211,0.1170291867823577,0.00033450427219738107,0.190410706452989,0.6491566889198531,52.16323874141808,20.9746346272232,91.39261131578964,43832.0,True,significant_enhancement
boston,7,Boston,9,2,4,True,0.6407743956396319,0.1018881113848881,3.1951619529224395e-10,0.4410773668724457,0.8404714244068181,89.79500746243332,55.43809552835484,131.74592261453694,43832.0,True,significant_enhancement
boston,8,Boston,9,2,4,True,0.4618951830364805,0.0601765514498598,1.6455983558656533e-14,0.3439513094809338,0.5798390565920273,58.70789417114579,41.0509955373781,78.5751002768698,43832.0,True,significant_enhancement
boston,9,Boston,9,2,4,True,0.5219131927627313,0.0593968369670343,1.5376365177578461e-18,0.4054975315117467,0.6383288540137159,68.52487731575239,50.00486358938399,89.33142295993753,43832.0,True,significant_enhancement
boston,10,Boston,9,2,4,True,0.2179175448194536,0.0570108627684295,0.0001321663869968809,0.1061783070657763,0.3296567825731309,24.34845316502454,11.202013987835135,39.04908058792722,43832.0,True,significant_enhancement
boston,11,Boston,9,2,4,True,0.2566320570002141,0.0513940966341128,5.932087624842509e-07,0.1559014785793818,0.3573626354210464,29.2569447373372,16.871105434428713,42.95541828518778,43832.0,True,significant_enhancement
boston,12,Boston,9,2,4,True,0.461895183036323,0.2215800153098461,0.0371099366299153,0.0276063333351908,0.8961840327374553,58.70789417112079,2.7990918998789027,145.02352313348936,43832.0,True,significant_enhancement
capecoral,1,Cape Coral,10,2,5,True,-0.458920047346282,0.1577750018574194,0.0036293568844113,-0.7681533686475642,-0.1496867260449998,-36.80342297799597,-53.61311273058329,-13.902234394347058,21916.0,True,significant_suppression
capecoral,2,Cape Coral,10,2,5,True,-0.9685039628644176,0.3050537392937264,0.0014990703402848,-1.5663983052293924,-0.3706096204994429,-62.03494151644888,-79.12041513737287,-30.96866268450785,21916.0,True,significant_suppression
capecoral,3,Cape Coral,10,2,5,True,-0.3183011584346253,0.0895224163652076,0.0003771935130328631,-0.4937618703194314,-0.1428404465498191,-27.26163023100268,-38.96738974526025,-13.310762646916308,21916.0,True,significant_suppression
capecoral,4,Cape Coral,10,2,5,True,-0.5451673039753727,0.2266764792634412,0.0161704410883452,-0.989445039474058,-0.1008895684766875,-42.02552183809806,-62.82170413521757,-9.596713890035248,21916.0,True,significant_suppression
capecoral,5,Cape Coral,10,2,5,True,-0.6571265651609169,0.2490466859221712,0.0083257051129557,-1.145249100037431,-0.1690040302844029,-48.16613911074288,-68.18553419272048,-15.549450021816844,21916.0,True,significant_suppression
capecoral,6,Cape Coral,10,2,5,True,-0.3168007616023784,0.218605566547425,0.1472848351346571,-0.7452597988553056,0.1116582756505487,-27.15241189648617,-52.53890194679721,11.81307028654166,21916.0,False,not_significant
capecoral,7,Cape Coral,10,2,5,True,-0.5068443639044364,0.2123564855120977,0.0169974967937111,-0.9230554273916498,-0.0906333004172231,-39.76064826372878,-60.26967465883845,-8.664742449347607,21916.0,True,significant_suppression
capecoral,8,Cape Coral,10,2,5,True,-0.8845134426177207,0.302573928974107,0.0034634604111774,-1.477547446067751,-0.2914794391676906,-58.70849687326643,-77.18033327256644,-25.28426243774492,21916.0,True,significant_suppression
capecoral,9,Cape Coral,10,2,5,True,-0.3603837672661263,0.1945608453210494,0.0639837047303873,-0.7417160168970514,0.0209484823647986,-30.259136789588997,-52.37041179394581,2.11694420475852,21916.0,False,not_significant
capecoral,10,Cape Coral,10,2,5,True,-0.496550892657596,0.1547954990073956,0.0013376081490629,-0.7999444956809971,-0.1931572896341949,-39.13737390362262,-55.06460954924734,-17.564769813068526,21916.0,True,significant_suppression
capecoral,11,Cape Coral,10,2,5,True,-0.4185893523018328,0.1515004129798205,0.0057280050586098,-0.7155247053852256,-0.12165399921844,-34.202566455589675,-51.106450260977,-11.45453164805128,21916.0,True,significant_suppression
capecoral,12,Cape Coral,10,2,5,True,-0.6653161638164576,0.2287793767194667,0.0036361750960276,-1.1137155025921337,-0.2169168250407817,-48.5889041274022,-67.1663244139584,-19.500307789326836,21916.0,True,significant_suppression
chandler,1,Chandler,11,3,1,True,0.0433522922488291,0.082122728372161,0.5975712470241462,-0.1176052976727721,0.2043098821704305,4.430573086831213,-11.095310775116218,22.66782202745223,16437.0,False,not_significant
chandler,2,Chandler,11,3,1,True,-0.1004949442968521,0.1119542066101859,0.3693757428139402,-0.3199211571705725,0.1189312685768682,-9.56103152730118,-27.379370902464007,12.629250394132583,16437.0,False,not_significant
chandler,3,Chandler,11,3,1,True,-0.0313508952114238,0.0712598109228879,0.6599718840585274,-0.1710175581654182,0.1083157677425704,-3.086455158261192,-15.71932247990695,11.439958127443251,16437.0,False,not_significant
chandler,4,Chandler,11,3,1,True,-0.0797065208516883,0.0040667924440151,1.565870710690592e-85,-0.0876772875745577,-0.0717357541288189,-7.661269845633456,-8.394354817270766,-6.922318275113848,16437.0,True,significant_suppression
