group_label,indicator,model_type,lag,rr,rr_low,rr_high,log_rr,log_rr_se,n_cities,lag_profile_percentile,lag_profile_value_target,lag_profile_value_mean,lag_profile_value_median,lag_profile_source,meta_method,reliability,profile_warning,percentile,source_file,ci_source,log_rr_low_for_dots,log_rr_high_for_dots,rr_low_for_dots,rr_high_for_dots,pa_change_pct,ci_excludes_null
National,cehwi,composite_all,11,1.0019880689392515,0.9894946703907906,1.0146392096281822,0.0019860953455253,0.0064015282976928,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.008543481692967182,0.012515672384017781,0.9914929101353687,1.0125943211833324,0.19880689392515194,False
National,cehwi,composite_all,0,0.9834649327361168,0.9641367262813532,1.0031806149031672,-0.0166732973696679,0.0101269718454578,63,0.5,5.729999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,50,pooled_lag_response_p50.csv,provided_log_rr_se,-0.0333306837397046,-1.5910999631201656e-05,0.9672186632150185,0.999984089126948,-1.6535067263883207,True
National,cehwi,composite_all,1,0.9841440556011498,0.970818564322084,0.9976524530630536,-0.0159829946763723,0.0069554530260627,63,0.5,5.729999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,50,pooled_lag_response_p50.csv,provided_log_rr_se,-0.02742369681338212,-0.004542292539362478,0.9729489188241086,0.9954680080693663,-1.5855944398850186,True
National,cehwi,composite_all,2,0.9849019090348666,0.9744148614841782,0.9955018224404156,-0.0152132275051132,0.0054616850530715,63,0.5,5.729999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,50,pooled_lag_response_p50.csv,provided_log_rr_se,-0.024196899973924497,-0.006229555036301904,0.9760934980509761,0.9937898084122523,-1.509809096513337,True
National,cehwi,composite_all,3,0.9858170084823308,0.9738099289783876,0.9979721353145296,-0.0142845313779272,0.0062523509137478,63,0.5,5.729999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,50,pooled_lag_response_p50.csv,provided_log_rr_se,-0.024568733455378616,-0.0040003293004757835,0.9757306212764193,0.9960076613581407,-1.418299151766922,True
National,cehwi,composite_all,4,0.986968216873038,0.9717622011681112,1.002412174446192,-0.013117441816851,0.0079217916532127,63,0.5,5.729999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,50,pooled_lag_response_p50.csv,provided_log_rr_se,-0.026147629549591805,-8.725408411019639e-05,0.9741912595753617,0.9999127497224167,-1.303178312696196,True
National,cehwi,composite_all,5,0.9884349015378776,0.970705271401563,1.0064883578591644,-0.011632494343921,0.009234639499545,63,0.5,5.729999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,50,pooled_lag_response_p50.csv,provided_log_rr_se,-0.026822124618336916,0.0035571359304949167,0.9735343939259872,1.0035634700467195,-1.1565098462122392,False
National,cehwi,composite_all,6,0.9902938759579752,0.9716533606795722,1.009291996966884,-0.0097535355010887,0.0096952180824572,63,0.5,5.729999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,50,pooled_lag_response_p50.csv,provided_log_rr_se,-0.025700750128103918,0.0061936791259265146,0.9746267028899409,1.0062128996178474,-0.9706124042024755,False
National,cehwi,composite_all,7,0.992547344503128,0.9744539606765894,1.0109766811314462,-0.0074805652883544,0.0093864489330617,63,0.5,5.729999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,50,pooled_lag_response_p50.csv,provided_log_rr_se,-0.022919899860095707,0.007958769283386905,0.9773407657701081,1.0079905244758205,-0.7452655496872018,False
National,cehwi,composite_all,8,0.995122198139576,0.9779453217675236,1.0126007734669111,-0.0048897371637662,0.0088835620202254,63,0.5,5.729999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,50,pooled_lag_response_p50.csv,provided_log_rr_se,-0.019501896372982292,0.009722422045449892,0.9806870354385048,1.0097698383331364,-0.4877801860423969,False
