"model_id","city","activity_type","row_exposure","col_exposure","covariance"
"Columbia__all","Columbia","all",6,4,0.022642563088357
"Columbia__all","Columbia","all",2,6,0.010739117780963
"Columbia__all","Columbia","all",4,6,0.022642563088357
"Columbia__all","Columbia","all",6,6,0.0367713815594528
"Columbus__all","Columbus","all",2,2,0.0427715265160114
"Columbus__all","Columbus","all",4,2,0.0633005249350262
"Columbus__all","Columbus","all",6,2,0.0393444810816199
"Columbus__all","Columbus","all",2,4,0.0633005249350262
"Columbus__all","Columbus","all",4,4,0.10371161176018
"Columbus__all","Columbus","all",6,4,0.0983438112283312
"Columbus__all","Columbus","all",2,6,0.0393444810816199
"Columbus__all","Columbus","all",4,6,0.0983438112283312
"Columbus__all","Columbus","all",6,6,0.196652842289539
"Corpus_Christi__all","Corpus_Christi","all",2,2,65707453.6503537
"Corpus_Christi__all","Corpus_Christi","all",4,2,79007531.1603282
"Corpus_Christi__all","Corpus_Christi","all",6,2,46116666.4689131
"Corpus_Christi__all","Corpus_Christi","all",2,4,79007531.1603282
"Corpus_Christi__all","Corpus_Christi","all",4,4,123840233.244534
"Corpus_Christi__all","Corpus_Christi","all",6,4,131896509.162525
"Corpus_Christi__all","Corpus_Christi","all",2,6,46116666.4689131
"Corpus_Christi__all","Corpus_Christi","all",4,6,131896509.162525
"Corpus_Christi__all","Corpus_Christi","all",6,6,235823657.878186
"Dallas__all","Dallas","all",2,2,7.30634053456567e-05
"Dallas__all","Dallas","all",4,2,0.000143730466454364
"Dallas__all","Dallas","all",6,2,0.000209605339089174
"Dallas__all","Dallas","all",2,4,0.000143730466454364
"Dallas__all","Dallas","all",4,4,0.000282754889946407
"Dallas__all","Dallas","all",6,4,0.000412366827513808
"Dallas__all","Dallas","all",2,6,0.000209605339089174
"Dallas__all","Dallas","all",4,6,0.000412366827513807
"Dallas__all","Dallas","all",6,6,0.000601440714609358
"Detroit__all","Detroit","all",2,2,17.6606969434896
"Detroit__all","Detroit","all",4,2,24.6466614833638
"Detroit__all","Detroit","all",6,2,10.283164160463
"Detroit__all","Detroit","all",2,4,24.6466614833638
"Detroit__all","Detroit","all",4,4,34.5866291407284
"Detroit__all","Detroit","all",6,4,15.1132067912894
"Detroit__all","Detroit","all",2,6,10.283164160463
"Detroit__all","Detroit","all",4,6,15.1132067912894
"Detroit__all","Detroit","all",6,6,9.03700695238484
"Fort_Worth__all","Fort_Worth","all",2,2,0.000304563249274091
"Fort_Worth__all","Fort_Worth","all",4,2,0.000590644483245082
"Fort_Worth__all","Fort_Worth","all",6,2,0.000839762186609873
"Fort_Worth__all","Fort_Worth","all",2,4,0.000590644483245082
