"model_id","city","activity_type","exposure","log_rr"
"Philadelphia__all","Philadelphia","all",6,-0.055549486571884
"Phoenix__all","Phoenix","all",2,-0.111682328933669
"Phoenix__all","Phoenix","all",4,-0.186303417208943
"Phoenix__all","Phoenix","all",6,-0.191225582092107
"Raleigh__all","Raleigh","all",2,-0.0293568107682699
"Raleigh__all","Raleigh","all",4,-0.0757630195849794
"Raleigh__all","Raleigh","all",6,-0.154584591912204
"Richmond__all","Richmond","all",2,0.379907426456085
"Richmond__all","Richmond","all",4,0.578569696208772
"Richmond__all","Richmond","all",6,0.414741652554664
"Riverside__all","Riverside","all",2,0.0481808868887996
"Riverside__all","Riverside","all",4,0.118915607319363
"Riverside__all","Riverside","all",6,0.23475799483345
"Sacramento__all","Sacramento","all",2,-1.21649040245159
"Sacramento__all","Sacramento","all",4,-2.35208926286079
"Sacramento__all","Sacramento","all",6,-3.32590503918519
"San_Antonio__all","San_Antonio","all",2,-0.0433760444663278
"San_Antonio__all","San_Antonio","all",4,-0.0728645962486483
"San_Antonio__all","San_Antonio","all",6,-0.0778159738929829
"San_Bernardino__all","San_Bernardino","all",2,-1.2631058651965
"San_Bernardino__all","San_Bernardino","all",4,-2.21345383101118
"San_Bernardino__all","San_Bernardino","all",6,-2.53828599806221
"San_Jose__all","San_Jose","all",2,0.0443986857130489
"San_Jose__all","San_Jose","all",4,0.0872607697505175
"San_Jose__all","San_Jose","all",6,0.127049650436825
"Scottsdale__all","Scottsdale","all",2,-0.177376283693005
"Scottsdale__all","Scottsdale","all",4,-0.306513813731989
"Scottsdale__all","Scottsdale","all",6,-0.342704463724605
"St_Louis__all","St_Louis","all",2,-0.35326524154173
"St_Louis__all","St_Louis","all",4,-0.641741275647078
"St_Louis__all","St_Louis","all",6,-0.801632268061286
"St_Petersburg__all","St_Petersburg","all",2,0.660402155600933
"St_Petersburg__all","St_Petersburg","all",4,0.723011561986128
"St_Petersburg__all","St_Petersburg","all",6,0.35034827606294
"Tallahassee__all","Tallahassee","all",2,0.0658769270820043
"Tallahassee__all","Tallahassee","all",4,-0.393455220103831
"Tallahassee__all","Tallahassee","all",6,-1.11175660997719
"Tampa__all","Tampa","all",2,0.00617413054098404
"Tampa__all","Tampa","all",4,-0.0167503163149388
"Tampa__all","Tampa","all",6,-0.0742791459630319
"Tucson__all","Tucson","all",2,-0.0193468446008555
"Tucson__all","Tucson","all",4,-0.0396718386973299
"Tucson__all","Tucson","all",6,-0.0618538960306672
"Virginia_Beach__all","Virginia_Beach","all",2,-0.226918625789769
"Virginia_Beach__all","Virginia_Beach","all",4,-0.326207835200768
"Virginia_Beach__all","Virginia_Beach","all",6,-0.22833224293887
"Visalia__all","Visalia","all",2,-0.217495027685556
"Visalia__all","Visalia","all",4,-0.421085414281192
"Visalia__all","Visalia","all",6,-0.596866518696989
"Washington__all","Washington","all",2,0.106134997129228
"Washington__all","Washington","all",4,0.170458649534515
"Washington__all","Washington","all",6,0.151159612491924
"Abilene__ride","Abilene","ride",2,-0.00661708248541888
"Abilene__ride","Abilene","ride",4,-0.0206202220311215
"Abilene__ride","Abilene","ride",6,-0.0493954756973916
"Amarillo__ride","Amarillo","ride",2,-0.739262213826564
"Amarillo__ride","Amarillo","ride",4,-1.03580330608568
"Amarillo__ride","Amarillo","ride",6,-0.446902155209983
"Arlington__ride","Arlington","ride",2,-0.0278643272825172
"Arlington__ride","Arlington","ride",4,-0.0552031380379964
"Arlington__ride","Arlington","ride",6,-0.0814909157393998
"Atlanta__ride","Atlanta","ride",2,-0.426754298008266
