"metric","activity_type","predictor","variable_only","coefficient","se","ci_low","ci_high","joint_wald","joint_df","joint_p","significant","star_label","estimand","n_grid_rows","n_cities"
"mean","run","Unemployment","Unemployment",0.022731174387956,0.00954574636044718,0.00402151152147954,0.0414408372544325,8.1002029186,3,0.0439855760529736,TRUE,"*","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","run","BD","Building Density",0.0500142715608638,0.010833115263591,0.0287813656442254,0.0712471774775022,21.6829992138519,3,7.59266492408624e-05,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","run","Urbanization_Rate","Urbanization Rate",0.0303818086700311,0.00780408785031765,0.0150857964834085,0.0456778208566537,15.2958041731188,3,0.00158054283929085,TRUE,"**","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","run","Street_Intersection_Density","Street Intersection Density",-0.0120106344926068,0.0124913736880847,-0.0364937269212529,0.0124724579360393,36.6604816388235,3,5.42890854230426e-08,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","run","Walkability_Index","Walkability Index",-0.00919388520623285,0.0101847786066608,-0.0291560512752881,0.0107682808628224,36.9489580676836,3,4.71722902727965e-08,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"gini","run","NDVI_2023","NDVI",0.0189955997589646,0.0120688539422832,-0.00465935396791046,0.0426505534858398,17.9820143878334,3,0.000443622478616987,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","run","total_20_55","Population (20-55)",0.0102643707133926,0.0154994737031077,-0.0201145977446986,0.0406433391714838,2.27943823679145,3,0.516471435598106,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","run","GDP","GDP",0.000656839035477977,0.00953919100697837,-0.0180399753381996,0.0193536534091556,0.0847432391326493,3,0.993603209805917,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","run","Unemployment","Unemployment",-0.0115964640317642,0.00999150263305621,-0.0311798091925544,0.007986881129026,2.97989273141518,3,0.394735722362066,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","run","BD","Building Density",0.0038706041204012,0.0124903578791792,-0.0206104973227901,0.0283517055635925,0.759458908490841,3,0.859137278979051,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","run","Urbanization_Rate","Urbanization Rate",-0.0222934578426775,0.00949720855497008,-0.0409079866104189,-0.00367892907493616,5.60594468420604,3,0.132437496321489,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","run","Street_Intersection_Density","Street Intersection Density",-0.0194782052468507,0.0125048220455337,-0.0439876564560968,0.0050312459623954,9.68178542222518,3,0.0214740716570334,TRUE,"*","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","run","Walkability_Index","Walkability Index",0.013120488396991,0.0103640065776511,-0.00719296449520519,0.0334339412891871,1.74822556924525,3,0.626265901284778,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"mean","walk","NDVI_2023","NDVI",-0.00698070251180488,0.00768643170937624,-0.0220461086621823,0.00808470363857255,21.2220104451646,3,9.46703990570123e-05,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","walk","total_20_55","Population (20-55)",0.0380046067726772,0.0134835802397722,0.0115767895027237,0.0644324240426307,8.35338097366053,3,0.0392459794812987,TRUE,"*","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","walk","GDP","GDP",0.029664793981221,0.0119755446537241,0.00619272645992181,0.0531368615025202,6.64333490113535,3,0.0841779305934019,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","walk","Unemployment","Unemployment",-0.0150020012899675,0.00717603815511974,-0.0290670360740022,-0.00093696650593284,5.60087797406371,3,0.132727963548353,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","walk","BD","Building Density",-0.00721930969067027,0.0088734906147734,-0.0246113512956261,0.0101727319142856,5.27581429743377,3,0.152679485851331,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","walk","Urbanization_Rate","Urbanization Rate",0.0111068306157256,0.00540298658776891,0.000516976903698479,0.0216966843277526,4.39199534239567,3,0.222128753594338,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","walk","Street_Intersection_Density","Street Intersection Density",0.0188479614824868,0.00955360657955046,0.00012289258656787,0.0375730303784057,4.86513677357314,3,0.181943079548306,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","walk","Walkability_Index","Walkability Index",-0.0258306099169788,0.00686217991146798,-0.039280482543456,-0.0123807372905015,14.7103540666752,3,0.00208167123766384,TRUE,"**","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"gini","walk","NDVI_2023","NDVI",0.03338460646264,0.008712880576814,0.0163073605320846,0.0504618523931955,19.5264996170825,3,0.000212748831350335,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","walk","total_20_55","Population (20-55)",-0.0113886636949441,0.00950443649011332,-0.0300173592155662,0.00724003182567803,1.44664358722219,3,0.694638550142856,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","walk","GDP","GDP",0.00628673767226174,0.00605065218988624,-0.00557254061991528,0.0181460159644388,2.26289932219629,3,0.519665646950117,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","walk","Unemployment","Unemployment",-0.00493300244349841,0.00507834981960495,-0.0148865680899241,0.0050205632029273,2.2649909658471,3,0.519260864878275,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","walk","BD","Building Density",0.00969135867394565,0.00786434970887382,-0.00572276675544703,0.0251054841033383,1.55621115271779,3,0.669358887090512,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","walk","Urbanization_Rate","Urbanization Rate",-0.00675584942110227,0.00553709318158935,-0.0176085520570174,0.00409685321481286,1.50039979291588,3,0.682178061412057,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","walk","Street_Intersection_Density","Street Intersection Density",-0.00906921869798943,0.00693661542794879,-0.0226649849367691,0.0045265475407902,1.74265964341714,3,0.627491595550292,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","walk","Walkability_Index","Walkability Index",-0.00114140779112093,0.00567214474653476,-0.0122588114943291,0.0099759959120872,0.0769642851101522,3,0.994450585144368,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
