"metric","activity_type","predictor","variable_only","exposure","coefficient","se","ci_low","ci_high","joint_p"
"mean","walk","Urbanization_Rate","Urbanization Rate",4,0.0112520589264378,0.00548897766407605,0.00049366270484872,0.0220104551480268,0.222128753594338
"mean","walk","Urbanization_Rate","Urbanization Rate",6,0.016332310387829,0.00791371979410489,0.000821419591383411,0.0318432011842746,0.222128753594338
"mean","walk","Street_Intersection_Density","Street Intersection Density",2,0.00966942378644424,0.00497332287838952,-7.82890551992137e-05,0.0194171366280877,0.181943079548306
"mean","walk","Street_Intersection_Density","Street Intersection Density",4,0.0190430796282333,0.00970960531077632,1.22532191117602e-05,0.0380739060373549,0.181943079548306
"mean","walk","Street_Intersection_Density","Street Intersection Density",6,0.0278313810327827,0.0139828766699909,0.000424942759600574,0.0552378193059649,0.181943079548306
"mean","walk","Walkability_Index","Walkability Index",2,-0.013373277752629,0.0035778628857917,-0.0203858890087808,-0.00636066649647729,0.00208167123766384
"mean","walk","Walkability_Index","Walkability Index",4,-0.0261966662082673,0.00697846225897664,-0.0398744522358615,-0.0125188801806731,0.00208167123766384
"mean","walk","Walkability_Index","Walkability Index",6,-0.0379218857900399,0.0100350709683553,-0.0575906248880164,-0.0182531466920635,0.00208167123766384
"gini","walk","NDVI_2023","NDVI",2,0.0176842692805076,0.00453413592447202,0.00879736286854247,0.0265711756924728,0.000212748831350335
"gini","walk","NDVI_2023","NDVI",4,0.0341789304831831,0.00885375428512018,0.0168255720843475,0.0515322888820187,0.000212748831350335
"gini","walk","NDVI_2023","NDVI",6,0.0482906196242293,0.0127566154108957,0.0232876534188738,0.0732935858295848,0.000212748831350335
"gini","walk","total_20_55","Population (20-55)",2,-0.00589005307739525,0.00492942775091092,-0.0155517314691807,0.00377162531439015,0.694638550142856
"gini","walk","total_20_55","Population (20-55)",4,-0.0115452033949766,0.00964506525573427,-0.0304495312962157,0.00735912450626257,0.694638550142856
"gini","walk","total_20_55","Population (20-55)",6,-0.0167307346124604,0.0139435590959049,-0.044060110440434,0.0105986412155132,0.694638550142856
"gini","walk","GDP","GDP",2,0.0031658934759921,0.00315200763052189,-0.0030120414798308,0.009343828431815,0.519665646950117
"gini","walk","GDP","GDP",4,0.00630462769550537,0.00615110967924269,-0.0057515472758103,0.018360802666821,0.519665646950117
"gini","walk","GDP","GDP",6,0.00938969184528777,0.00885269906830515,-0.00796159832859032,0.0267409820191659,0.519665646950117
"gini","walk","Unemployment","Unemployment",2,-0.00265614908243312,0.00264871396796244,-0.0078476284596395,0.00253533029477327,0.519260864878275
"gini","walk","Unemployment","Unemployment",4,-0.00508434201016027,0.00516536837820855,-0.015208464031449,0.0050397800111285,0.519260864878275
"gini","walk","Unemployment","Unemployment",6,-0.00705851623790184,0.00742349337126019,-0.0216085632455718,0.00749153076976814,0.519260864878275
