city,cluster,is_outlier,beta_max_abs,outlier_assigned_by,peak_lag,peak_val,early_auc,late_auc,ratio_early_late,monotone,decay_slope,n_sig,beta_lag1,pval_lag1,beta_lag2,pval_lag2,beta_lag3,pval_lag3,beta_lag4,pval_lag4,beta_lag5,pval_lag5,beta_lag6,pval_lag6,beta_lag7,pval_lag7,beta_lag8,pval_lag8,beta_lag9,pval_lag9,beta_lag10,pval_lag10,beta_lag11,pval_lag11,beta_lag12,pval_lag12
Charleston,3,0,0.7118307864106539,,1.0,-0.7118307864106539,-3.21147500987146,-1.8945575234504355,-1.695104674846682,3.0,0.03859172468819623,11.0,-0.7118307864106539,9.292560245653099e-08,-0.6353254332693914,1.0547442253179394e-08,-0.5118949494681405,1.6752664979090914e-10,-0.559255900899618,5.868149499534431e-33,-0.3987747068412122,4.280140511015497e-15,-0.3943932329824442,3.314900392003548e-07,-0.3446317234236329,3.488130745018399e-20,-0.3946188690026424,0.0085448332539721,-0.4158962674499541,2.294525971240937e-25,-0.221107941890875,0.1116277606810045,-0.187979703017712,1.954349087850836e-05,-0.3303230186656189,0.0040640439918023
Charlotte,4,0,0.4808025324405906,,7.0,-0.4808025324405906,-1.952086821666443,-2.1308342968791054,-0.9161134248740559,1.0,-0.0006549751115827064,12.0,-0.3745205792862431,0.0094427749438953,-0.3641658731550268,2.5998425515271068e-08,-0.2496761373256029,2.9147318963945505e-08,-0.2381750241898625,2.912798603270612e-05,-0.2612079523236368,1.538143524763376e-05,-0.4643412553860709,4.565824514590285e-06,-0.4808025324405906,1.1011029995422427e-11,-0.4441385480683932,0.0004475232732221699,-0.2252610813021021,0.0090197143127136,-0.2885101116096658,2.317829120834768e-14,-0.4006606577118746,7.828611063110947e-08,-0.2914613657464793,0.0047793119093084
Chicago,4,0,4.552097130374142,,8.0,-4.552097130374142,-18.126308741991682,-22.913341539760268,-0.9095776355279458,-1.0,-0.037642964146995764,12.0,-3.334466429313682,1.7709681475610227e-16,-3.234313661313402,8.354346377634934e-62,-3.4280573821494085,2.283870683485928e-89,-3.636787810092528,1.4014055952552265e-21,-3.819109367036957,6.991406159876537e-26,-3.388729279451064,6.536027035172292e-51,-3.4300971726105445,6.535111519622512e-37,-4.552097130374142,1.7377040008197163e-16,-4.191810648228357,8.18878816751739e-30,-3.721807020529941,3.0011766740218956e-40,-3.855338335196019,1.2898677650401042e-16,-3.162191232821264,5.1418526045099376e-21
Cincinnati,4,0,3.0871859171993004,,10.0,-3.0871859171993004,-14.310987878218318,-14.333459708315813,-0.9984321420657012,1.0,0.0356565707784621,11.0,-2.39403873667699,0.0050406832813994,-3.08718591706617,0.0037748063863224,-1.9885736029076573,0.0074632202346726,-1.9885736284998463,0.0088886599495999,-2.6817208076840866,0.0118670905990682,-2.1708951853835674,0.0022751379890607,-3.0871859054397253,0.0045388798359189,-2.681720771892745,0.00024121973610296345,-1.700891556106043,0.0024306591779007,-3.0871859171993004,0.0001444335993299565,-2.394038735405206,0.0064674343927617,-1.3824368222727923,0.1497330276532562
Clearwater,4,0,0.4072282907764548,,9.0,0.4072282907764548,0.8523689229327881,0.6618134285795924,1.2879273798278619,-1.0,-0.006345981574032128,12.0,0.1965950690802738,0.0,-0.0078063004582517,0.0,0.2750564856221624,0.0,0.1680843660054201,0.0,0.1071236662157242,0.0,0.1133156364674593,0.0,0.1847746005359533,0.0,-0.0245541577594862,0.0,0.4072282907764548,0.0,-0.0210515272082781,0.0,-0.1041854274080797,0.0,0.2196016496430282,0.0
Cleveland,3,1,14.001118437792623,assign_nearest (r=+0.28),10.0,-10.089832074782962,-18.126308741991682,-31.543719532351044,-0.9910196875931121,1.0,0.04016244149980015,12.0,-13.952085730578569,0.0,-13.95208573057859,0.0,-13.952085730578569,0.0,-13.95208573057856,0.0,-3.0884329230343432,9.985925535046116e-05,-1.9898206343669804,0.0121809948128935,-2.395285742472563,2.4458967751398094e-18,-13.952085730578576,0.0,-14.001118437792613,0.0,-14.001118437792623,0.0,-14.00111843779258,0.0,-3.08760410745176,0.00010016126166753597
Columbia,3,0,0.4388841574411789,,1.0,-0.4388841574411789,-1.074282826781626,-0.6451410636180603,-1.6651880064320643,1.0,0.02541450498143582,4.0,-0.4388841574411789,5.92200135512793e-09,-0.334901149028529,0.000156188408305948,-0.2667699382855429,0.0209419153391802,-0.2099262917140152,0.0595645084621937,0.1178700516893202,0.20070784025468,0.0583286579983198,0.4786273355511281,-0.0802354532789541,0.3940214383014432,-0.3849989541553396,1.22160683449459e-07,0.0532622753669025,0.6737581874162394,-0.1529684213507326,0.2156009959866667,0.0782321806783695,0.1857500326311938,-0.1584326908783061,0.3738671761721228
Columbus,2,0,0.3603487667736945,,4.0,0.3603487667736945,0.21177432976904212,0.4835915489728526,0.43791892620936657,-1.0,0.01093331754184239,2.0,-0.0982261666484144,0.4967568740444977,-0.2343583409731359,0.0524142322157227,0.0215750331641008,0.9156782647800296,0.3603487667736945,0.0225776215844044,0.1571205251604579,0.2733707340718145,0.0053145122923392,0.9759498888615916,0.2638885005859485,0.0592193551061231,0.2119287616553816,0.0799345584167355,-0.1935363464529988,0.2041497147965485,-0.1543156332991689,0.3614896362623875,0.1985057413232278,0.2560783024700329,0.1571205251604625,0.3129044391109215
Corpus Christi,1,1,10.19698050150769,assign_nearest (r=-1.00),11.0,-10.089832074782962,-18.126308741991682,-31.543719532351044,-0.9999999836551132,-1.0,-2.998192215088402e-13,12.0,-10.19698050150264,0.0,-10.196980501506989,0.0,-10.196980501504012,0.0,-10.196980501504244,0.0,-10.196980501504418,0.0,-10.196980501506465,0.0,-10.19698050150642,0.0,-10.196980501506436,0.0,-10.196980501506433,0.0,-10.196980501505225,0.0,-10.19698050150769,0.0,-10.196980501507548,0.0
Dallas,1,0,0.4842872102071383,,2.0,0.4842872102071383,1.7403898452455215,0.6487274297451157,2.6827710416966277,-3.0,-0.039623029519089796,9.0,0.424765554874961,9.037406390804402e-12,0.4842872102071383,5.984312975001021e-49,0.3180291693650457,1.2307894489967663e-31,0.2653348210408115,7.989057156130229e-16,0.0359010188182235,0.4219066809051345,0.2120720709393415,8.73224306428047e-07,0.1829947335307613,0.00014153044515588287,0.260847992068596,4.960863066593516e-10,0.2415292008484461,2.1469951771860728e-19,0.0288931308758206,0.2584345856506811,0.0415248777817443,0.137948800014812,-0.1070625053602525,0.0064890876424697
