variable_only,coefficient,se,z_value,p_value,ci_low,ci_high,significant,n_coefs,direction,star_label,mode,source_root,partition,indicator,model_type,base_model,activity_type,source_summary,sig
Walkability Index,1800.383630963134,14179.810778104476,0.1269680998665488,0.8989656467875874,-25992.04549412164,29592.812756047904,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,cehwi,night_walk,night,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,0.022914062390811,0.0301674306150838,0.7595629433337946,0.4475158766147896,-0.0362141016147531,0.0820422263963753,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.0562646899445477,0.0475408953877652,1.18350084670529,0.2366107111543851,-0.036915465015472,0.1494448449045676,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,-0.0591105068764723,0.0254864174379669,-2.3192944642119744,0.0203790753923097,-0.1090638850548876,-0.009157128698057,sig,3,Negative,*,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Population (20-55),-0.0306588888590832,0.0526341987597466,-0.5824898940521238,0.5602367466889776,-0.1338219184281866,0.0725041407100201,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,0.0496087767330792,0.0391149092380595,1.2682830587986913,0.2046968847605163,-0.0270564453735173,0.1262739988396759,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-0.0993355350578342,0.027136114548627,-3.6606395834535577,0.0002515864498374,-0.1525223195731432,-0.0461487505425251,sig,3,Negative,***,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Urbanization Rate,0.0056569863236473,0.0203055864652201,0.278592609641528,0.7805574849054737,-0.0341419631481842,0.0454559357954789,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,-0.0295187541770306,0.0278352130244156,-1.0604824238685835,0.2889251818826346,-0.0840757717048852,0.0250382633508239,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,-0.0058012592437609,0.0347287982841749,-0.167044629540332,0.8673349329411859,-0.0738697038807438,0.0622671853932219,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.0115839453213379,0.0522698719419009,0.2216180160956529,0.8246112564065817,-0.0908650036847879,0.1140328943274637,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,0.0184281694002952,0.0300119010584175,0.6140287269515237,0.5391963443238383,-0.0403951566742032,0.0772514954747936,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),0.0340133282997245,0.0567009759929698,0.5998720075637097,0.5485915392328541,-0.0771205846464963,0.1451472412459454,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,0.0499601621114324,0.0452006629084206,1.105297110634302,0.2690308695077005,-0.038633137189072,0.1385534614119369,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-0.0459314447066743,0.030425440476799,-1.5096394328851,0.1311354536593797,-0.1055653080412005,0.0137024186278518,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,0.0102115228279784,0.0237257586140103,0.4303981589844047,0.6669060343153567,-0.0362909640554818,0.0567140097114387,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,-0.0179261531502768,0.0327756059215991,-0.5469358276138994,0.5844228204337328,-0.082166340756611,0.0463140344560574,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,-1057.6067329764123,10553.031691836428,-0.1002182845517797,0.920171030120902,-21741.54884897581,19626.335383022983,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,1477.5109429408794,11461.515556178252,0.1289106083483381,0.8974283824643939,-20987.059547168494,23942.08143305025,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,-2717.8203366123826,9342.196580820082,-0.2909187698096805,0.7711134456537928,-21028.52563501974,15592.884961794978,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),1087.7897995028477,12774.867562239837,0.0851507692117415,0.932141528839783,-23950.950622487228,26126.53022149292,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,-1645.3602170245233,15513.534545114206,-0.1060596611455452,0.9155350163121884,-32051.88792544837,28761.16749139932,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-2673.4380584085343,8526.943009902405,-0.3135283131720067,0.7538793134369502,-19386.246357817246,14039.37024100018,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,1402.9170290105312,9954.259160271591,0.1409363576357051,0.8879202195575974,-18107.430925121786,20913.26498314285,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,1209.6481907402322,13254.843440793748,0.0912608433395267,0.9272853305975672,-24769.84495321552,27189.14133469597,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,-191.48102532366613,3185.67690544282,-0.0601068567237673,0.9520705289634172,-6435.407759991594,6052.445709344261,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,206.77630931845653,3455.393126800744,0.0598416162012526,0.9522817800133628,-6565.794219211001,6979.346837847915,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,-399.1277929273188,2811.034807490113,-0.141986072838311,0.8870910064935823,-5908.756015607942,5110.500429753303,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),238.7283318989089,3822.409047689327,0.0624549410909389,0.9502005436500378,-7253.193401572173,7730.650065369989,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,-312.0698335395185,4650.876809226057,-0.0670991398698108,0.9465027786383484,-9427.78837962259,8803.648712543552,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-317.2056474671751,2585.839141626509,-0.1226702938944804,0.9023681882018668,-5385.450365055134,4751.039070120783,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,219.4049237953801,3038.578420610784,0.072206437822091,0.9424376219085194,-5736.208780601756,6175.018628192517,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,198.86965316726972,4033.956573199782,0.049298907798981,0.9606810899113922,-7707.685230304302,8105.424536638841,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,0.0214415271560085,0.0169918537881017,1.2618709779048736,0.2069952166524587,-0.0118625062686708,0.0547455605806879,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.0633651188907397,0.0218187830229879,2.9041545912060767,0.0036824628299465,0.0206003041656833,0.1061299336157962,sig,3,Positive,**,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
NDVI,0.021520749388566,0.0182072499674225,1.181987912895809,0.2372104969093496,-0.0141654605475821,0.0572069593247143,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),-0.0161245593356365,0.0259619196785492,-0.6210850174133821,0.5345436866372397,-0.067009921905593,0.0347608032343199,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,0.014200718844464,0.0243963884245569,0.5820828311689705,0.5605108890716807,-0.0336162024676676,0.0620176401565957,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-0.0150691316050511,0.0199542821510013,-0.7551828470208811,0.4501392791918381,-0.0541795246210136,0.0240412614109114,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,-0.003676842377166,0.0178069606481324,-0.2064834336314233,0.8364133039723815,-0.0385784852475055,0.0312248004931735,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,-0.0014148471458707,0.0225389246481592,-0.0627734982017547,0.9499468696080424,-0.0455911394562628,0.0427614451645214,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,0.0173654493258401,0.0197090865854295,0.8810884893406451,0.3782699268989301,-0.0212643603816018,0.055995259033282,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.0669926786294778,0.0258550616163432,2.591085630487569,0.0095673682037962,0.0163167578614449,0.1176685993975106,sig,3,Positive,**,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
NDVI,0.0326806177328065,0.0212167286614577,1.5403231221113738,0.1234816103640193,-0.0089041704436507,0.0742654059092637,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),-0.0131870221147313,0.0302664187049124,-0.435698132749053,0.6630557606849865,-0.0725092027763598,0.046135158546897,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,0.0390577349430469,0.0282011089356832,1.3849715992418552,0.1660611517939514,-0.0162164385708921,0.094331908456986,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-0.0046723186657557,0.0230554711205526,-0.2026555276760609,0.8394042855844832,-0.049861042062039,0.0405164047305274,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,-0.0100402176420129,0.0203981957972477,-0.4922110632631372,0.6225701442955852,-0.0500206814046186,0.0299402461205926,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,-0.0023761063263369,0.0257551741265608,-0.092257435910188,0.9264935053126686,-0.0528562476143962,0.0481040349617223,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,0.0608048921592314,0.0289511288784471,2.1002598003871937,0.0357059934485522,0.0040606795574749,0.1175491047609879,sig,3,Positive,*,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
GDP,0.039939851872445,0.0377646695627515,1.057598340853455,0.2902385992625837,-0.034078900470548,0.1139586042154381,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,-0.0276808604332664,0.0311314069836053,-0.8891618823345796,0.373916085214533,-0.0886984181211328,0.0333366972546,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),-0.0364738345359471,0.0432131439761643,-0.8440449173535156,0.3986443061549125,-0.1211715967292292,0.0482239276573348,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,0.028257181057241,0.0408086174075904,0.692431717914196,0.4886662528766329,-0.0517277090616363,0.1082420711761184,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,0.025745310556151,0.0341399215599405,0.7541115907647647,0.4507822181097082,-0.0411689357013323,0.0926595568136344,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,-0.0370374257554191,0.0303010639558987,-1.2223143652422472,0.2215887689202185,-0.0964275111089806,0.0223526595981424,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,0.0187609329737475,0.0384326391703132,0.4881510450169453,0.6254428572408699,-0.0565670398000663,0.0940889057475614,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,0.2166236595475469,0.0601590636552557,3.6008482576942806,0.0003171806628253,0.0987118947832456,0.3345354243118481,sig,3,Positive,***,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_walk,day,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
GDP,0.1543594395111468,0.0765713489691941,2.015890298253047,0.0438114483320814,0.0042795955315263,0.3044392834907672,sig,3,Positive,*,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_walk,day,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
NDVI,-0.0999486114287158,0.0655361829305095,-1.52509052189834,0.1272365209464412,-0.2283995299725145,0.0285023071150828,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,DTW4_Cluster_3,exceeded_quantity,day_walk,day,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
