"cehwi","rr_n63","rr_low_n63","rr_high_n63","log_rr_n63","log_rr_low_n63","log_rr_high_n63","rr_n60","rr_low_n60","rr_high_n60","log_rr_n60","log_rr_low_n60","log_rr_high_n60","delta_log_rr"
46.4830460921844,0.876269979708849,0.676424238696568,1.13515902212279,-0.132081039513714,-0.39093482774381,0.126772748716382,0.884620909705838,0.675761731212593,1.15803265817459,-0.122596076357412,-0.391914733691262,0.146722580976439,0.00948496315630207
46.8351903807615,0.873704021144055,0.668683675463062,1.1415841967948,-0.135013609257576,-0.402444162567937,0.132416944052785,0.882242421931201,0.667927840298409,1.16532302457596,-0.125288405943725,-0.403575134785825,0.152998322898375,0.00972520331385091
47.1873346693387,0.871117728103427,0.660950294759996,1.1481137117756,-0.137978146965656,-0.414076638992692,0.138120345061381,0.879842103400206,0.660101873600357,1.17273129781233,-0.128012815563317,-0.415361101933074,0.15933547080644,0.00996533140233871
47.5394789579158,0.86851221879369,0.653228965926932,1.15474590616717,-0.140973624552862,-0.425827574216645,0.143880325110922,0.877421072525851,0.652288784549834,1.1802559797862,-0.130768273526971,-0.427267894027373,0.16573134697343,0.0102053510258902
47.891623246493,0.865888601882005,0.645524311548761,1.16147921535336,-0.143999013934103,-0.43769240627724,0.149694378409033,0.874980439137816,0.644493277298359,1.18789566290446,-0.133553748145473,-0.439290887536491,0.172183391245545,0.0104452657886302
48.2437675350701,0.863247976274819,0.637840720573874,1.16831215773133,-0.14705328702429,-0.449666681079087,0.155560107030508,0.872521304246109,0.636719819670579,1.19564901679549,-0.136368207729606,-0.451425563700786,0.178689148241574,0.0106850792946833
48.5959118236473,0.86059143091017,0.630182360119959,1.17524332292486,-0.15013541573833,-0.461746040974298,0.161475209497637,0.87004475981808,0.628972654812316,1.20351477650929,-0.139210620590156,-0.463667497292992,0.18524625611268,0.0109247951481744
48.9480561122244,0.85792004456329,0.622553186149505,1.18227136128852,-0.153244371991134,-0.473926214695431,0.167437470713162,0.867551888568658,0.621255811720674,1.21149173200402,-0.142079955037906,-0.476012346732682,0.19185243665687,0.0111644169532283
49.3002004008016,0.855234885665336,0.614956953171703,1.18939497453699,-0.156379127697611,-0.486203008468132,0.173444753072911,0.865043763763677,0.613573114816002,1.21957871874948,-0.144975179383641,-0.488455845377932,0.19850548661065,0.0114039483139696
49.6523446893788,0.852537012135092,0.60739722310529,1.19661290735641,-0.159538654772669,-0.498572298153593,0.179494988608255,0.862521449036134,0.605928192692057,1.22777460930173,-0.147895261938146,-0.500993793841277,0.205203269964985,0.0116433928345231
50.0044889779559,0.84982747122346,0.599877373417792,1.20392393987341,-0.162721925131218,-0.51103002229096,0.185586172028524,0.85998599821523,0.598324486160715,1.23607830572321,-0.150839171012205,-0.513622053198108,0.211943711173699,0.0118827541190135
50.3566332665331,0.84710729937056,0.592400604640078,1.21132688087458,-0.165927910688167,-0.523572175927167,0.191716354550832,0.857438455168031,0.590765255690305,1.24448873274015,-0.153805874916602,-0.526336538973817,0.218724789140613,0.0121220357715657
50.7087775551102,0.844377522075263,0.584969947340967,1.21882056168329,-0.169155583358426,-0.536194805136593,0.197883638419741,0.854879853653579,0.583253588322021,1.25300483154382,-0.156794341962122,-0.539133215811445,0.225544531887201,0.012361241396304
51.0609218436874,0.841639153776957,0.577588268634329,1.22640383061321,-0.172403915056903,-0.548894002145917,0.20408617203211,0.852311217189287,0.575792404136261,1.26162555415506,-0.15980354045955,-0.552008092735012,0.232401011815912,0.0126003745973536
51.4130661322645,0.838893197749363,0.570258278280687,1.23407554792876,-0.175671877698508,-0.561665900990633,0.210322145593617,0.849733558929439,0.568384462330034,1.27034985828242,-0.162832438719669,-0.564957218935014,0.239292341495676,0.0128394389788391
51.7652104208417,0.836140646006196,0.562982534436261,1.24183458125167,-0.17895844319815,-0.574506673639348,0.216589787243047,0.847147881555617,0.561032366957408,1.27917670261376,-0.165880005053265,-0.577976680012495,0.246216669905965,0.0130784381448853
52.1173547094188,0.833382479218481,0.555763449094651,1.24967980136106,-0.182262583470738,-0.587412526530237,0.222887359588761,0.844555177178869,0.553738572377164,1.2881050424889,-0.168945207771121,-0.591062594626407,0.253172179084165,0.0133173756996168
52.469498997996,0.830619666643309,0.548603293259741,1.25761007834123,-0.185583270431182,-0.60037969747124,0.229213156608876,0.841956427253437,0.546505388445102,1.29713382590844,-0.172027015184023,-0.604211111496307,0.26015708112826,0.0135562552471584
52.8216432865731,0.827853166063846,0.541504201882694,1.26562427803727,-0.18891947599439,-0.613404452861698,0.235565500872918,0.839352602501843,0.539334985482799,1.30626198983913,-0.175124395602755,-0.617418406718581,0.267169615513071,0.0137950803916349
53.1737875751503,0.825083923740365,0.53446817859101,1.27372125878375,-0.192270172075272,-0.626483085198553,0.24194274104801,0.83674466285116,0.53222939904968,1.31548845678205,-0.178236317338101,-0.630680681359819,0.274208046683617,0.0140338547371709
53.5259318637274,0.822312874372113,0.527497100233459,1.28189986837625,-0.195634330588737,-0.639611910834781,0.248343249657308,0.83413355738025,0.52519053454118,1.3248121315737,-0.181361748700846,-0.643994159295531,0.28127066189384,0.0142725818878911
53.8780761523046,0.819540941069789,0.520592721261099,1.29015894125937,-0.199010923449694,-0.65278726796179,0.254765421062402,0.831520224277798,0.518220171632138,1.33423189839436,-0.184499658001773,-0.657355085266431,0.288355769262885,0.0145112654479206
54.2302204408818,0.816769035338434,0.513756677961502,1.29849729590798,-0.202398922573052,-0.666005514790961,0.261207669644856,0.828905590810918,0.511319968581624,1.34374661796123,-0.187649013551668,-0.670759723127942,0.295461696024605,0.014749909021384
54.5823647294589,0.813998057070501,0.506990492560705,1.30691373238171,-0.205797299873722,-0.67926302791253,0.267668428165087,0.826290573304158,0.504491466412741,1.35335512488675,-0.190808783661316,-0.684204354271591,0.302586786948959,0.0149885162124058
