"cluster","lag","n_cities","mean_standardized_response","ci_low","ci_high","series","cluster_label"
4,10,20,0.0505597275143862,-0.352887863793413,0.454007318822185,"Primary","C4"
4,11,20,0.123627381707369,-0.394695200023558,0.641949963438295,"Primary","C4"
4,12,20,0.817914033088888,0.392107523523587,1.24372054265419,"Primary","C4"
1,1,18,0.66141371313896,0.408447108825832,0.914380317452089,"Exclusion","C1"
1,2,18,0.647356647260159,0.264552220044334,1.03016107447598,"Exclusion","C1"
1,3,18,0.764558385868699,0.505753345602509,1.02336342613489,"Exclusion","C1"
1,4,18,0.305228635902469,-0.0484942268685276,0.658951498673465,"Exclusion","C1"
1,5,18,0.150958733179299,-0.22580962411061,0.527727090469209,"Exclusion","C1"
1,6,18,0.141180416136628,-0.213914515040719,0.496275347313975,"Exclusion","C1"
1,7,18,0.0785494146671579,-0.238177620751122,0.395276450085438,"Exclusion","C1"
1,8,18,-0.0761095478319029,-0.419276288177231,0.267057192513425,"Exclusion","C1"
1,9,18,-0.214936177343376,-0.565962907234838,0.136090552548086,"Exclusion","C1"
1,10,18,-0.341485333019958,-0.668744194960291,-0.014226471079624,"Exclusion","C1"
1,11,18,-0.380903806346404,-0.820570496809157,0.0587628841163487,"Exclusion","C1"
1,12,18,-1.73581108161173,-2.10886386122951,-1.36275830199396,"Exclusion","C1"
2,1,14,0.807446958232508,0.335649423705689,1.27924449275933,"Exclusion","C2"
2,2,14,0.491134286540268,-0.185144352154904,1.16741292523544,"Exclusion","C2"
2,3,14,-0.23501105748742,-0.766487630288524,0.296465515313684,"Exclusion","C2"
2,4,14,0.274864774769419,-0.599270083943812,1.14899963348265,"Exclusion","C2"
2,5,14,-0.512956809065267,-1.0248958299499,-0.00101778818063647,"Exclusion","C2"
2,6,14,-0.198982092527414,-0.559139270514098,0.16117508545927,"Exclusion","C2"
2,7,14,-0.465609391970242,-0.811210388337835,-0.12000839560265,"Exclusion","C2"
2,8,14,0.0596650369880833,-0.345621009986817,0.464951083962984,"Exclusion","C2"
2,9,14,0.413083369597529,-0.00640552232152641,0.832572261516584,"Exclusion","C2"
2,10,14,0.0806054085537335,-0.400679192996582,0.561890010104049,"Exclusion","C2"
2,11,14,-0.385353103934634,-0.657419612430824,-0.113286595438444,"Exclusion","C2"
2,12,14,-0.328887379696564,-0.606553131259929,-0.0512216281331988,"Exclusion","C2"
3,1,11,-1.81140752526486,-2.09573214676197,-1.52708290376776,"Exclusion","C3"
3,2,11,-0.512281625639843,-0.933331808402359,-0.0912314428773278,"Exclusion","C3"
3,3,11,-0.444879093703583,-0.844252080851427,-0.0455061065557388,"Exclusion","C3"
