"scope","support_percent","delta_log_rr"
"C4 pool",38.4102614149657,-0.0841409652766965
"C4 pool",38.9589794351795,-0.0834904980852074
"C4 pool",39.5076974553933,-0.0827688643813967
"C4 pool",40.0564154756071,-0.0819775333877508
"C4 pool",40.6051334958208,-0.0811179743267537
"C4 pool",41.1538515160346,-0.080191656420892
"C4 pool",41.7025695362484,-0.0792000488926524
"C4 pool",42.2512875564622,-0.0781446209645195
"C4 pool",42.800005576676,-0.0770268418589792
"C4 pool",43.3487235968898,-0.075848180798518
"C4 pool",43.8974416171036,-0.0746101070056208
"C4 pool",44.4461596373174,-0.0733140897027751
"C4 pool",44.9948776575312,-0.0719615981124647
"C4 pool",45.543595677745,-0.0705541014571753
"C4 pool",46.0923136979588,-0.0690930689593946
"C4 pool",46.6410317181726,-0.0675799698416073
"C4 pool",47.1897497383864,-0.0660162733262992
"C4 pool",47.7384677586002,-0.0644034486359558
"C4 pool",48.287185778814,-0.0627429649930639
"C4 pool",48.8359037990278,-0.0610362916201082
"C4 pool",49.3846218192416,-0.0592848977395744
"C4 pool",49.9333398394554,-0.0574902525739493
"C4 pool",50.4820578596692,-0.0556538253457182
"C4 pool",51.030775879883,-0.0537770852773665
"C4 pool",51.5794939000967,-0.0518615015913804
"C4 pool",52.1282119203108,-0.0499085435102455
"C4 pool",52.6769299405243,-0.047919680256449
"C4 pool",53.2256479607383,-0.0458963810524741
"C4 pool",53.7743659809518,-0.0438401151208077
"C4 pool",54.3230840011658,-0.0417523516839365
"C4 pool",54.8718020213798,-0.0396345599643453
"C4 pool",55.4205200415932,-0.0374882091845208
"C4 pool",55.9692380618072,-0.0353147685669475
"C4 pool",56.5179560820207,-0.0331157073341122
"C4 pool",57.0666741022347,-0.0308924947085007
"C4 pool",57.6153921224487,-0.0286465999125974
"C4 pool",58.1641101426622,-0.0263794921688894
"C4 pool",58.7128281628762,-0.0240926406998632
"C4 pool",59.2615461830897,-0.0217875147280026
"C4 pool",59.8102642033037,-0.0194655834757944
"C4 pool",60.3589822235177,-0.0171283161657248
"C4 pool",60.9077002437312,-0.0147771820202791
"C4 pool",61.4564182639452,-0.0124136502619432
"C4 pool",62.0051362841587,-0.0100391901132025
"C4 pool",62.5538543043726,-0.00765527079654349
"C4 pool",63.1025723245867,-0.00526336153445149
"C4 pool",63.6512903448001,-0.0028649315494126
"C4 pool",64.2000083650141,-0.0004614500639121
"C4 pool",64.7487263852276,0.0019456136995637
"C4 pool",65.2974444054416,0.0043547905185294
"C4 pool",65.8461624256556,0.0067646111704988
"C4 pool",66.3948804458691,0.00917360643298651
"C4 pool",66.9435984660831,0.0115803070835066
"C4 pool",67.4923164862966,0.0139832438995729
"C4 pool",68.0410345065106,0.0163809476587003
"C4 pool",68.5897525267246,0.0187719491384025
"C4 pool",69.1384705469381,0.021154779116194
"C4 pool",69.687188567152,0.0235279683695889
"C4 pool",70.235906587366,0.0258900476761014
"C4 pool",70.7846246075795,0.0282395478132455
"C4 pool",71.3333426277935,0.030574999558536
"C4 pool",71.882060648007,0.0328949336894865
"C4 pool",72.430778668221,0.0351978809836114
"C4 pool",72.979496688435,0.037482372218425
"C4 pool",73.5282147086485,0.0397469381714415
"C4 pool",74.0769327288625,0.0419901096201751
"C4 pool",74.625650749076,0.04421041734214
"C4 pool",75.17436876929,0.0464063921148503
"C4 pool",75.723086789504,0.0485765647158205
"C4 pool",76.2718048097175,0.0507194659225644
"C4 pool",76.8205228299315,0.0528336265125966
"C4 pool",77.3692408501449,0.0549175772634311
"C4 pool",77.9179588703589,0.0569698489525821
"C4 pool",78.4666768905729,0.0589889723575639
"C4 pool",79.0153949107864,0.0609734782558907
"C4 pool",79.5641129310004,0.0629218974250767
"C4 pool",80.1128309512139,0.064832760642636
"C4 pool",80.6615489714279,0.0667045986860833
"C4 pool",81.2102669916419,0.0685359423329317
"C4 pool",81.7589850118554,0.0703253223606965
"C4 pool",82.3077030320694,0.0720712695468915
"C4 pool",82.8564210522829,0.0737723146690306
"C4 pool",83.4051390724969,0.0754269885046296
"C4 pool",83.9538570927109,0.0770338218312007
"C4 pool",84.5025751129243,0.0785913454262586
"C4 pool",85.0512931331384,0.0800980900673182
"C4 pool",85.6000111533518,0.0815525865318923
"C4 pool",86.1487291735658,0.0829533655974971
"C4 pool",86.6974471937798,0.0842989593458085
"C4 pool",87.2461652139933,0.0855883739502774
"C4 pool",87.7948832342073,0.0868217924143049
"C4 pool",88.3436012544208,0.0879995772295044
"C4 pool",88.8923192746348,0.0891220908874862
"C4 pool",89.4410372948488,0.0901896958798645
"C4 pool",89.9897553150623,0.0912027546982521
"C4 pool",90.5384733352763,0.0921616298342589
"C4 pool",91.0871913554903,0.0930666837794994
"C4 pool",91.6359093757038,0.0939182790255862
"C4 pool",92.1846273959178,0.0947167780641292
"C4 pool",92.7333454161312,0.0954625433867432
"C4 pool",93.2820634363452,0.0961559374850394
"C4 pool",93.8307814565592,0.096797322850631
"C4 pool",94.3794994767727,0.0973870619751296
"C4 pool",94.9282174969867,0.0979255173501475
"C4 pool",95.4769355172002,0.0984130514672979
"C4 pool",96.0256535374142,0.0988500268181913
"C4 pool",96.5743715576282,0.0992368058944431
"C4 pool",97.1230895778417,0.0995737511876627
"C4 pool",97.6718075980557,0.0998612251894641
"C4 pool",98.2205256182692,0.10009959039146
"C4 pool",98.7692436384831,0.100289209285261
"C4 pool",99.3179616586972,0.100430444362481
"C4 pool",99.8666796789106,0.100523658114732
