scope,scope_label,denominator_package,scenario,indicator,heatwave_type,activity_type,curve_scope,partition_family,partition_name,denominator_id,denominator_label,denominator_months,scope_label_plot,heatwave_label_plot,indicator_label_plot,scenario_label_plot,period_plot,heatwave_days,pa_loss_fraction_percent_all_days,pa_loss_fraction_low_percent_all_days,pa_loss_fraction_high_percent_all_days,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,benefit_adjusted_asri_percent,benefit_adjusted_asri_low_percent,benefit_adjusted_asri_high_percent,exposure_clipped_share
control_zone,climate-zone control,annual_all_days_primary,ssp370,cehwi,day,all,zone,ZONE_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Climate-zone
control",Daytime,CEHWI,SSP3-7.0,2025-2050,812.9200244200244,0.3798801803034509,0.00021799996174428748,1.1210604811610954,0.41040919284048155,0.000218601568580232,1.4121025044242304,0.4057882654004455,0.0,1.4121025044242304,0.0
control_zone,climate-zone control,annual_all_days_primary,ssp585,cehwi,day,all,zone,ZONE_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Climate-zone
control",Daytime,CEHWI,SSP5-8.5,2025-2050,871.3095238095237,0.4292095207498913,0.00029310143507364496,1.2509498994633372,0.47026073480127484,0.0002939139612906482,1.6030746728070908,0.4657352432604612,0.0,1.6030746728070908,1.0453777577065249e-06
control_zone,climate-zone control,annual_all_days_primary,ssp245,cehwi,night,all,zone,ZONE_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Climate-zone
control",Nighttime,CEHWI,SSP2-4.5,2025-2050,475.96275946275944,0.05760718274941868,0.0,0.4414773846619616,0.06006434734453952,0.0,0.6299863431763509,0.05599933144864389,0.0,0.6299863431763509,0.0
control_zone,climate-zone control,annual_all_days_primary,ssp370,cehwi,night,all,zone,ZONE_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Climate-zone
control",Nighttime,CEHWI,SSP3-7.0,2025-2050,509.6251526251526,0.05675673622608796,0.0,0.43675206812964124,0.059189692920905985,0.0,0.6195325793282254,0.056553637863897416,0.0,0.6195325793282254,0.0
control_zone,climate-zone control,annual_all_days_primary,ssp585,cehwi,night,all,zone,ZONE_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Climate-zone
control",Nighttime,CEHWI,SSP5-8.5,2025-2050,528.514652014652,0.0629404921241837,0.0,0.4954862157867585,0.0656876953234689,0.0,0.7196757767232485,0.059658216631847116,0.0,0.7196757767232485,0.0
control_region,geographic-region control,annual_all_days_primary,ssp245,cehwi,composite,all,region,REGION_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Region
control",Compound,CEHWI,SSP2-4.5,2025-2050,547.1967213114754,0.39710374136086907,0.0,1.1689498511386873,0.5188421677422753,0.0,1.4610642432838867,0.48848224750601954,0.0,1.4610642432838867,2.3530587195531883e-05
control_region,geographic-region control,annual_all_days_primary,ssp370,cehwi,composite,all,region,REGION_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Region
control",Compound,CEHWI,SSP3-7.0,2025-2050,578.1860025220681,0.410498276221795,0.0,1.2450297532822363,0.43661885302072506,0.0,1.4301690818335513,0.4122546524214204,0.0,1.4301690818335513,0.0
control_region,geographic-region control,annual_all_days_primary,ssp585,cehwi,composite,all,region,REGION_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Region
control",Compound,CEHWI,SSP5-8.5,2025-2050,622.3228247162674,0.4956376193459573,0.0,1.4771770377791307,0.616385734591423,0.0,1.8587679965371464,0.5710062628902844,0.0,1.8587679965371464,3.7923259519763176e-06
control_region,geographic-region control,annual_all_days_primary,ssp245,cehwi,day,all,region,REGION_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Region
control",Daytime,CEHWI,SSP2-4.5,2025-2050,830.1607818411097,0.3760295611150722,0.04986263934777338,1.0110612577405254,0.4122071347244068,0.050853646648137144,1.166209217108442,0.4060359239957731,0.04890208006648236,1.166209217108442,1.1516292675062043e-06
control_region,geographic-region control,annual_all_days_primary,ssp370,cehwi,day,all,region,REGION_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Region
control",Daytime,CEHWI,SSP3-7.0,2025-2050,827.8581336696091,0.3478295835382845,0.04818493559140918,0.9623786331823924,0.36121392678698516,0.04909462449585716,1.0475613320499542,0.3553295710158533,0.045927036513099484,1.0475613320499542,0.0
