"model_id","city","activity","model_type","component","coefficient"
"Arlington__ride","Arlington","ride","composite_ride",1,-0.206640758430448
"Arlington__ride","Arlington","ride","composite_ride",2,-0.0981015965000966
"Arlington__ride","Arlington","ride","composite_ride",3,0.411570008667
"Atlanta__ride","Atlanta","ride","composite_ride",1,5.77883807723238
"Atlanta__ride","Atlanta","ride","composite_ride",2,-2.73876001576148
"Atlanta__ride","Atlanta","ride","composite_ride",3,-2.79273388472493
"Austin__ride","Austin","ride","composite_ride",1,0.437838618038974
"Austin__ride","Austin","ride","composite_ride",2,-0.697425663494406
"Austin__ride","Austin","ride","composite_ride",3,-0.884262456912925
"Bakersfield__ride","Bakersfield","ride","composite_ride",1,-2.37727106168984
"Bakersfield__ride","Bakersfield","ride","composite_ride",2,4.53103191133638
"Bakersfield__ride","Bakersfield","ride","composite_ride",3,8.8558734820473
"Baltimore__ride","Baltimore","ride","composite_ride",1,-0.893826370119661
"Baltimore__ride","Baltimore","ride","composite_ride",2,1.18760230219685
"Baltimore__ride","Baltimore","ride","composite_ride",3,2.10662335376521
"Boston__ride","Boston","ride","composite_ride",1,-5.28823059179859
"Boston__ride","Boston","ride","composite_ride",2,-1.37173588514682
"Boston__ride","Boston","ride","composite_ride",3,-13.5317227873108
"Cape_Coral__ride","Cape_Coral","ride","composite_ride",1,4.84165061881069
"Cape_Coral__ride","Cape_Coral","ride","composite_ride",2,-3.50923163316127
"Cape_Coral__ride","Cape_Coral","ride","composite_ride",3,-3.64134460638718
"Chandler__ride","Chandler","ride","composite_ride",1,1.81656704776756
"Chandler__ride","Chandler","ride","composite_ride",2,-0.39462270333075
"Chandler__ride","Chandler","ride","composite_ride",3,-1.34123590369236
"Charleston__ride","Charleston","ride","composite_ride",1,0.998306415199954
"Charleston__ride","Charleston","ride","composite_ride",2,0.697640848722203
"Charleston__ride","Charleston","ride","composite_ride",3,1.68934070873124
"Charlotte__ride","Charlotte","ride","composite_ride",1,-5.32349556335064
"Charlotte__ride","Charlotte","ride","composite_ride",2,11.2222718152485
"Charlotte__ride","Charlotte","ride","composite_ride",3,17.5823922742701
"Chicago__ride","Chicago","ride","composite_ride",1,2.02376051527995
"Chicago__ride","Chicago","ride","composite_ride",2,-2.47977084559493
"Chicago__ride","Chicago","ride","composite_ride",3,-1.36815738319634
"Cincinnati__ride","Cincinnati","ride","composite_ride",1,-13.776386508159
"Cincinnati__ride","Cincinnati","ride","composite_ride",2,9.24791946647138
"Cincinnati__ride","Cincinnati","ride","composite_ride",3,16.7492370783958
"Clearwater__ride","Clearwater","ride","composite_ride",1,-7.59858188287401
"Clearwater__ride","Clearwater","ride","composite_ride",2,1.64194341730038
"Clearwater__ride","Clearwater","ride","composite_ride",3,6.41366923890841
"Cleveland__ride","Cleveland","ride","composite_ride",1,123429.879882931
"Cleveland__ride","Cleveland","ride","composite_ride",2,-1811761.10510359
"Cleveland__ride","Cleveland","ride","composite_ride",3,-2120242.38049367
"Columbia__ride","Columbia","ride","composite_ride",1,2.67968099639384
"Columbia__ride","Columbia","ride","composite_ride",2,-29.1266210793744
"Columbia__ride","Columbia","ride","composite_ride",3,-52.6960666421976
"Columbus__ride","Columbus","ride","composite_ride",1,10.8306428683016
"Columbus__ride","Columbus","ride","composite_ride",2,-16.2329106180125
"Columbus__ride","Columbus","ride","composite_ride",3,-21.7672521703105
"Corpus_Christi__ride","Corpus_Christi","ride","composite_ride",1,4010.43573771208
"Corpus_Christi__ride","Corpus_Christi","ride","composite_ride",2,-2785.18730738566
"Corpus_Christi__ride","Corpus_Christi","ride","composite_ride",3,-1183.73054976234
"Dallas__ride","Dallas","ride","composite_ride",1,0.365718191392345
"Dallas__ride","Dallas","ride","composite_ride",2,-1.25888166343127
"Dallas__ride","Dallas","ride","composite_ride",3,-2.04115202289564
"Detroit__ride","Detroit","ride","composite_ride",1,80.7228848278686
"Detroit__ride","Detroit","ride","composite_ride",2,-1010.7931152392
"Detroit__ride","Detroit","ride","composite_ride",3,-1443.45384775723
"Fort_Worth__ride","Fort_Worth","ride","composite_ride",1,0.537134031745677
"Fort_Worth__ride","Fort_Worth","ride","composite_ride",2,-0.938774880748802
"Fort_Worth__ride","Fort_Worth","ride","composite_ride",3,-0.698841360691136
"Fresno__ride","Fresno","ride","composite_ride",1,-0.0600103674916768
"Fresno__ride","Fresno","ride","composite_ride",2,-0.423730802222589
"Fresno__ride","Fresno","ride","composite_ride",3,-0.00983172047597722
"Gilbert__ride","Gilbert","ride","composite_ride",1,-0.0250956594481793
"Gilbert__ride","Gilbert","ride","composite_ride",2,-0.543049214969234
"Gilbert__ride","Gilbert","ride","composite_ride",3,-0.925179117757832
"Henderson__ride","Henderson","ride","composite_ride",1,-0.773880308108846
"Henderson__ride","Henderson","ride","composite_ride",2,0.124375882708466
"Henderson__ride","Henderson","ride","composite_ride",3,0.143751804519357
"Houston__ride","Houston","ride","composite_ride",1,-1.27317108512077
"Houston__ride","Houston","ride","composite_ride",2,1.20856448041632
"Houston__ride","Houston","ride","composite_ride",3,2.51955754071651
"Indianapolis__ride","Indianapolis","ride","composite_ride",1,18.963063387826
"Indianapolis__ride","Indianapolis","ride","composite_ride",2,-29.8719327033781
"Indianapolis__ride","Indianapolis","ride","composite_ride",3,-36.7720462270489
"Jacksonville__ride","Jacksonville","ride","composite_ride",1,0.224737351056131
"Jacksonville__ride","Jacksonville","ride","composite_ride",2,0.101016387315632
"Jacksonville__ride","Jacksonville","ride","composite_ride",3,-1.03016595516353
"Kansas_City__ride","Kansas_City","ride","composite_ride",1,-0.593886836292635
"Kansas_City__ride","Kansas_City","ride","composite_ride",2,0.122839803383113
"Kansas_City__ride","Kansas_City","ride","composite_ride",3,1.48261061783063
"Las_Vegas__ride","Las_Vegas","ride","composite_ride",1,1.36031438326742
"Las_Vegas__ride","Las_Vegas","ride","composite_ride",2,-2.3555737779199
"Las_Vegas__ride","Las_Vegas","ride","composite_ride",3,-4.10328050364316
"Los_Angeles__ride","Los_Angeles","ride","composite_ride",1,-0.175319036954112
"Los_Angeles__ride","Los_Angeles","ride","composite_ride",2,-0.71567152970131
"Los_Angeles__ride","Los_Angeles","ride","composite_ride",3,-1.62877823865121
"Louisville__ride","Louisville","ride","composite_ride",1,12.1554426043784
"Louisville__ride","Louisville","ride","composite_ride",2,-24.3994855002873
"Louisville__ride","Louisville","ride","composite_ride",3,-37.3933724178698
"Lubbock__ride","Lubbock","ride","composite_ride",1,1.8379905623197
"Lubbock__ride","Lubbock","ride","composite_ride",2,-3.66568109057773
"Lubbock__ride","Lubbock","ride","composite_ride",3,-1.11905248490634
"Mesa__ride","Mesa","ride","composite_ride",1,-2.25875436985061
"Mesa__ride","Mesa","ride","composite_ride",2,0.177224403147299
"Mesa__ride","Mesa","ride","composite_ride",3,1.89220750872117
"Miami__ride","Miami","ride","composite_ride",1,29.0419294351243
"Miami__ride","Miami","ride","composite_ride",2,-314.273116384898
"Miami__ride","Miami","ride","composite_ride",3,-473.798569693011
"Milwaukee__ride","Milwaukee","ride","composite_ride",1,8.558974219404
"Milwaukee__ride","Milwaukee","ride","composite_ride",2,-7.83300470932818
"Milwaukee__ride","Milwaukee","ride","composite_ride",3,-13.4004176276065
"Minneapolis__ride","Minneapolis","ride","composite_ride",1,-39.6082628430764
"Minneapolis__ride","Minneapolis","ride","composite_ride",2,17.8329800740804
"Minneapolis__ride","Minneapolis","ride","composite_ride",3,-9.82516480481326
"Miramar__ride","Miramar","ride","composite_ride",1,-11.3548807624871
"Miramar__ride","Miramar","ride","composite_ride",2,3.83610948059521
"Miramar__ride","Miramar","ride","composite_ride",3,8.04321337163389
"Nashville__ride","Nashville","ride","composite_ride",1,2.34542430058161
"Nashville__ride","Nashville","ride","composite_ride",2,-1.7203050626901
"Nashville__ride","Nashville","ride","composite_ride",3,-3.70284940674853
"New_York__ride","New_York","ride","composite_ride",1,0.514351303771164
"New_York__ride","New_York","ride","composite_ride",2,-0.14598992313357
"New_York__ride","New_York","ride","composite_ride",3,0.516358577935055
"Newark__ride","Newark","ride","composite_ride",1,251.589886182725
"Newark__ride","Newark","ride","composite_ride",2,-613.340639756206
"Newark__ride","Newark","ride","composite_ride",3,494.701378719018
"Oklahoma_City__ride","Oklahoma_City","ride","composite_ride",1,22.8998551817256
"Oklahoma_City__ride","Oklahoma_City","ride","composite_ride",2,-343.581151005483
"Oklahoma_City__ride","Oklahoma_City","ride","composite_ride",3,-590.532800150219
"Orlando__ride","Orlando","ride","composite_ride",1,0.619725493878962
"Orlando__ride","Orlando","ride","composite_ride",2,-1.39661103634982
"Orlando__ride","Orlando","ride","composite_ride",3,-2.99877065186069
"Overland_Park__ride","Overland_Park","ride","composite_ride",1,3.56715398312927
"Overland_Park__ride","Overland_Park","ride","composite_ride",2,-27.7307928914582
"Overland_Park__ride","Overland_Park","ride","composite_ride",3,-49.958723247624
"Palm_Bay__ride","Palm_Bay","ride","composite_ride",1,-10.2662302131861
"Palm_Bay__ride","Palm_Bay","ride","composite_ride",2,4.99553322650579
"Palm_Bay__ride","Palm_Bay","ride","composite_ride",3,9.68955602359795
"Philadelphia__ride","Philadelphia","ride","composite_ride",1,0.528222210402005
"Philadelphia__ride","Philadelphia","ride","composite_ride",2,1.89977749369983
"Philadelphia__ride","Philadelphia","ride","composite_ride",3,4.00181491949204
"Phoenix__ride","Phoenix","ride","composite_ride",1,0.428472365994317
"Phoenix__ride","Phoenix","ride","composite_ride",2,-0.401257875291891
"Phoenix__ride","Phoenix","ride","composite_ride",3,-0.522061805538058
"Raleigh__ride","Raleigh","ride","composite_ride",1,-1.31852615713758
"Raleigh__ride","Raleigh","ride","composite_ride",2,0.468851364536124
"Raleigh__ride","Raleigh","ride","composite_ride",3,1.852278447008
"Richmond__ride","Richmond","ride","composite_ride",1,-6.26184470005658
"Richmond__ride","Richmond","ride","composite_ride",2,2.20325566413529
"Richmond__ride","Richmond","ride","composite_ride",3,1.93099461298532
"Riverside__ride","Riverside","ride","composite_ride",1,2.63576360675555
"Riverside__ride","Riverside","ride","composite_ride",2,-16.381013327366
"Riverside__ride","Riverside","ride","composite_ride",3,-30.2625347090677
"Sacramento__ride","Sacramento","ride","composite_ride",1,24.1487837011961
"Sacramento__ride","Sacramento","ride","composite_ride",2,-26.4602301129272
"Sacramento__ride","Sacramento","ride","composite_ride",3,-20.1494516726376
"San_Antonio__ride","San_Antonio","ride","composite_ride",1,0.939942641557034
"San_Antonio__ride","San_Antonio","ride","composite_ride",2,-1.58476053542856
"San_Antonio__ride","San_Antonio","ride","composite_ride",3,-2.88635389055109
"San_Bernardino__ride","San_Bernardino","ride","composite_ride",1,11.0394829810167
"San_Bernardino__ride","San_Bernardino","ride","composite_ride",2,-1.98737568999292
"San_Bernardino__ride","San_Bernardino","ride","composite_ride",3,-1.4713196965043
"San_Jose__ride","San_Jose","ride","composite_ride",1,-0.641909156636015
"San_Jose__ride","San_Jose","ride","composite_ride",2,1.19931660574341
"San_Jose__ride","San_Jose","ride","composite_ride",3,0.58948932846
"Scottsdale__ride","Scottsdale","ride","composite_ride",1,1.62572727534884
"Scottsdale__ride","Scottsdale","ride","composite_ride",2,-3.7214829653374
"Scottsdale__ride","Scottsdale","ride","composite_ride",3,-6.81779327848542
"St_Louis__ride","St_Louis","ride","composite_ride",1,3.13402447309498
"St_Louis__ride","St_Louis","ride","composite_ride",2,-1.28168349232784
"St_Louis__ride","St_Louis","ride","composite_ride",3,-0.702064210442982
"St_Petersburg__ride","St_Petersburg","ride","composite_ride",1,-0.292694506516698
"St_Petersburg__ride","St_Petersburg","ride","composite_ride",2,0.348112166721685
"St_Petersburg__ride","St_Petersburg","ride","composite_ride",3,-0.965532058365962
"Tallahassee__ride","Tallahassee","ride","composite_ride",1,-3.70227556211182
"Tallahassee__ride","Tallahassee","ride","composite_ride",2,-0.199328592292221
"Tallahassee__ride","Tallahassee","ride","composite_ride",3,0.696189881844605
"Tampa__ride","Tampa","ride","composite_ride",1,1.55510037891096
"Tampa__ride","Tampa","ride","composite_ride",2,-1.78880841340082
"Tampa__ride","Tampa","ride","composite_ride",3,-2.35363076152275
"Tucson__ride","Tucson","ride","composite_ride",1,-0.124076395287485
"Tucson__ride","Tucson","ride","composite_ride",2,-0.442901286062566
"Tucson__ride","Tucson","ride","composite_ride",3,-0.439915991006239
"Virginia_Beach__ride","Virginia_Beach","ride","composite_ride",1,-0.749820110263609
"Virginia_Beach__ride","Virginia_Beach","ride","composite_ride",2,-1.97971957533931
"Virginia_Beach__ride","Virginia_Beach","ride","composite_ride",3,-2.00969393075158
"Visalia__ride","Visalia","ride","composite_ride",1,1.02118779546282
"Visalia__ride","Visalia","ride","composite_ride",2,-1.37289322272358
"Visalia__ride","Visalia","ride","composite_ride",3,-0.149103254482601
"Washington__ride","Washington","ride","composite_ride",1,-1.00681115700687
"Washington__ride","Washington","ride","composite_ride",2,-0.179479294493964
"Washington__ride","Washington","ride","composite_ride",3,0.064574629865073
"Abilene__run","Abilene","run","composite_run",1,-4.20277355021144
"Abilene__run","Abilene","run","composite_run",2,-1.98284540239447
"Abilene__run","Abilene","run","composite_run",3,4.44155002645793
"Amarillo__run","Amarillo","run","composite_run",1,85.0771051881722
"Amarillo__run","Amarillo","run","composite_run",2,-820.353813744358
"Amarillo__run","Amarillo","run","composite_run",3,-1372.66836338341
"Arlington__run","Arlington","run","composite_run",1,1.39109693559083
"Arlington__run","Arlington","run","composite_run",2,-1.10666591332129
"Arlington__run","Arlington","run","composite_run",3,-1.91108572789486
"Atlanta__run","Atlanta","run","composite_run",1,75.6568777210784
"Atlanta__run","Atlanta","run","composite_run",2,-10111.5729205959
"Atlanta__run","Atlanta","run","composite_run",3,-13394.177095318
"Austin__run","Austin","run","composite_run",1,0.578027634612335
"Austin__run","Austin","run","composite_run",2,-0.527731932391218
"Austin__run","Austin","run","composite_run",3,-1.37666238328353
"Bakersfield__run","Bakersfield","run","composite_run",1,2.470252935325
"Bakersfield__run","Bakersfield","run","composite_run",2,-3.55679367769916
"Bakersfield__run","Bakersfield","run","composite_run",3,-6.92864502596696
"Baltimore__run","Baltimore","run","composite_run",1,-3.36258493527822
"Baltimore__run","Baltimore","run","composite_run",2,7.72738214990033
"Baltimore__run","Baltimore","run","composite_run",3,11.976304504689
"Boston__run","Boston","run","composite_run",1,14.3014924664781
"Boston__run","Boston","run","composite_run",2,-6.11626414070447
"Boston__run","Boston","run","composite_run",3,7.22761229616148
"Cape_Coral__run","Cape_Coral","run","composite_run",1,13.484548606422
"Cape_Coral__run","Cape_Coral","run","composite_run",2,-4.95581112000017
"Cape_Coral__run","Cape_Coral","run","composite_run",3,0.432151869104547
"Chandler__run","Chandler","run","composite_run",1,2.07105992718634
"Chandler__run","Chandler","run","composite_run",2,-2.35322474079102
"Chandler__run","Chandler","run","composite_run",3,-6.54224588491464
"Charleston__run","Charleston","run","composite_run",1,2.17652494483761
"Charleston__run","Charleston","run","composite_run",2,-6.62318543649179
"Charleston__run","Charleston","run","composite_run",3,-10.6094650578138
