"model_id","city","activity","row_component","col_component","covariance"
"Dallas__all","Dallas","all",3,1,-0.159743759259159
"Dallas__all","Dallas","all",1,2,-0.0844481499322125
"Dallas__all","Dallas","all",2,2,0.403541713443091
"Dallas__all","Dallas","all",3,2,0.742593555488708
"Dallas__all","Dallas","all",1,3,-0.159743759259159
"Dallas__all","Dallas","all",2,3,0.742593555488708
"Dallas__all","Dallas","all",3,3,1.37996094790754
"Detroit__all","Detroit","all",1,1,14185.2012257187
"Detroit__all","Detroit","all",2,1,-264769.75598115
"Detroit__all","Detroit","all",3,1,-379134.770441856
"Detroit__all","Detroit","all",1,2,-264769.75598115
"Detroit__all","Detroit","all",2,2,10852731.9683707
"Detroit__all","Detroit","all",3,2,15508065.399313
"Detroit__all","Detroit","all",1,3,-379134.770441856
"Detroit__all","Detroit","all",2,3,15508065.399313
"Detroit__all","Detroit","all",3,3,22160423.1225894
"Fort_Worth__all","Fort_Worth","all",1,1,0.0978276299457358
"Fort_Worth__all","Fort_Worth","all",2,1,-0.110782692768819
"Fort_Worth__all","Fort_Worth","all",3,1,-0.157471334202365
"Fort_Worth__all","Fort_Worth","all",1,2,-0.110782692768819
"Fort_Worth__all","Fort_Worth","all",2,2,0.14806255902288
"Fort_Worth__all","Fort_Worth","all",3,2,0.201400775647685
"Fort_Worth__all","Fort_Worth","all",1,3,-0.157471334202365
"Fort_Worth__all","Fort_Worth","all",2,3,0.201400775647685
"Fort_Worth__all","Fort_Worth","all",3,3,0.30882841204255
"Fresno__all","Fresno","all",1,1,0.424162939473358
"Fresno__all","Fresno","all",2,1,-0.271108676180905
"Fresno__all","Fresno","all",3,1,-0.532290971076288
"Fresno__all","Fresno","all",1,2,-0.271108676180905
"Fresno__all","Fresno","all",2,2,0.480431089876784
"Fresno__all","Fresno","all",3,2,0.831871452356285
"Fresno__all","Fresno","all",1,3,-0.532290971076287
"Fresno__all","Fresno","all",2,3,0.831871452356285
"Fresno__all","Fresno","all",3,3,1.56938436893375
"Gilbert__all","Gilbert","all",1,1,1.10974572341187
"Gilbert__all","Gilbert","all",2,1,-0.301030582656381
"Gilbert__all","Gilbert","all",3,1,-0.777874935505832
"Gilbert__all","Gilbert","all",1,2,-0.301030582656381
"Gilbert__all","Gilbert","all",2,2,0.335362238223187
"Gilbert__all","Gilbert","all",3,2,0.499022977103591
"Gilbert__all","Gilbert","all",1,3,-0.777874935505832
"Gilbert__all","Gilbert","all",2,3,0.499022977103591
"Gilbert__all","Gilbert","all",3,3,1.15161251851574
"Henderson__all","Henderson","all",1,1,0.296684789846728
"Henderson__all","Henderson","all",2,1,-0.120035885962904
"Henderson__all","Henderson","all",3,1,-0.139164807016062
"Henderson__all","Henderson","all",1,2,-0.120035885962904
"Henderson__all","Henderson","all",2,2,0.117092272133451
"Henderson__all","Henderson","all",3,2,0.0999626072527878
"Henderson__all","Henderson","all",1,3,-0.139164807016062
"Henderson__all","Henderson","all",2,3,0.0999626072527878
"Henderson__all","Henderson","all",3,3,0.185972619581304
"Houston__all","Houston","all",1,1,0.0801348828383141
"Houston__all","Houston","all",2,1,-0.0793204588093824
"Houston__all","Houston","all",3,1,-0.138937045655069
"Houston__all","Houston","all",1,2,-0.0793204588093824
"Houston__all","Houston","all",2,2,0.102277012657275
"Houston__all","Houston","all",3,2,0.168127672117452
"Houston__all","Houston","all",1,3,-0.138937045655069
"Houston__all","Houston","all",2,3,0.168127672117452
"Houston__all","Houston","all",3,3,0.295141940638948
"Indianapolis__all","Indianapolis","all",1,1,93.2334456581429
"Indianapolis__all","Indianapolis","all",2,1,-73.3711976062036
"Indianapolis__all","Indianapolis","all",3,1,-92.600310721527
"Indianapolis__all","Indianapolis","all",1,2,-73.3711976062036
"Indianapolis__all","Indianapolis","all",2,2,97.1164737169942
"Indianapolis__all","Indianapolis","all",3,2,119.344427419131
"Indianapolis__all","Indianapolis","all",1,3,-92.600310721527
"Indianapolis__all","Indianapolis","all",2,3,119.344427419131
"Indianapolis__all","Indianapolis","all",3,3,147.563300428292
"Jacksonville__all","Jacksonville","all",1,1,0.890754208349789
"Jacksonville__all","Jacksonville","all",2,1,-0.481419752206646
"Jacksonville__all","Jacksonville","all",3,1,-0.835885558598722
"Jacksonville__all","Jacksonville","all",1,2,-0.481419752206646
"Jacksonville__all","Jacksonville","all",2,2,0.316956271298803
"Jacksonville__all","Jacksonville","all",3,2,0.505072936393567
"Jacksonville__all","Jacksonville","all",1,3,-0.835885558598722
