"model_id","city","activity","basis_fun","knots","boundary_knots","intercept","lag_effect_days"
"Henderson__ride","Henderson","ride","ns","6.042500000000004;18.694499999999984","0.000000000000000;40.223000000000035","FALSE","12"
"Houston__ride","Houston","ride","ns","5.3412500000000076;30.3425000000000082","0.00000000000000;66.23899999999999","FALSE","12"
"Indianapolis__ride","Indianapolis","ride","ns","9.4450000000000003;23.1534000000000368","0.000000000000000;26.113749999999996","FALSE","12"
"Jacksonville__ride","Jacksonville","ride","ns","3.0899999999999999;11.8799999999999919","0.000000000000000;20.049999999999983","FALSE","12"
"Kansas_City__ride","Kansas_City","ride","ns","5.7070000000000096;21.2890000000000512","0.000000000000000;44.030000000000136","FALSE","8"
"Las_Vegas__ride","Las_Vegas","ride","ns","5.5300000000000047;15.7237500000000008","0.000000000000000;35.848750000000074","FALSE","12"
"Los_Angeles__ride","Los_Angeles","ride","ns","9.0715000000000039;14.7992500000000078","0.00000000000000;28.61999999999999","FALSE","12"
"Louisville__ride","Louisville","ride","ns","7.8070000000000075;15.6869249999999933","0.000000000000000;22.940000000000008","FALSE","12"
"Lubbock__ride","Lubbock","ride","ns","8.0377499999999955;20.9199999999999946","0.000000000000000;39.077000000000012","FALSE","12"
"Mesa__ride","Mesa","ride","ns","4.9082500000000024;12.1162500000000435","0.000000000000000;33.125000000000014","FALSE","12"
"Miami__ride","Miami","ride","ns","1.7200000000000006;4.1915999999999967","0.0000000000000000;6.7200000000000024","FALSE","12"
"Milwaukee__ride","Milwaukee","ride","ns","8.7089999999999996;22.7049999999999983","0.000000000000000;34.164999999999992","FALSE","12"
"Minneapolis__ride","Minneapolis","ride","ns","9.4135000000000009;18.3518000000000150","0.000000000000000;19.312000000000044","FALSE","12"
"Miramar__ride","Miramar","ride","ns","1.6194999999999986;4.4820000000000064","0.0000000000000000;9.2200000000000166","FALSE","12"
"Nashville__ride","Nashville","ride","ns","5.2380000000000013;16.5923500000000068","0.000000000000000;42.750000000000014","FALSE","12"
"New_York__ride","New_York","ride","ns","8.3000000000000007;17.2099999999999973","0.000000000000000;22.655000000000001","FALSE","12"
"Newark__ride","Newark","ride","ns","8.6712500000000006;14.5745000000000076","0.00000000000000;18.08150000000003","FALSE","12"
"Oklahoma_City__ride","Oklahoma_City","ride","ns","8.2825000000000042;60.9972999999999956","0.00000000000000;174.12500000000009","FALSE","12"
"Orlando__ride","Orlando","ride","ns","3.4550000000000054;11.2491000000000110","0.000000000000000;22.594999999999978","FALSE","8"
"Overland_Park__ride","Overland_Park","ride","ns","5.7500000000000071;22.4102000000000956","0.000000000000000;70.479000000000042","FALSE","8"
"Palm_Bay__ride","Palm_Bay","ride","ns","2.4275000000000002;8.1699999999999928","0.000000000000000;14.044999999999987","FALSE","12"
"Philadelphia__ride","Philadelphia","ride","ns","6.7200000000000006;12.3784999999999936","0.000000000000000;23.289000000000001","FALSE","12"
"Phoenix__ride","Phoenix","ride","ns","4.5450000000000017;12.3201250000000684","0.000000000000000;34.122500000000016","FALSE","12"
"Raleigh__ride","Raleigh","ride","ns","4.8835000000000015;12.3397000000000041","0.000000000000000;32.434999999999988","FALSE","8"
"Richmond__ride","Richmond","ride","ns","6.235000000000003;14.285500000000006","0.000000000000000;21.083500000000001","FALSE","12"
"Riverside__ride","Riverside","ride","ns","9.0150000000000006;15.8351250000000192","0.000000000000000;33.699999999999989","FALSE","12"
"Sacramento__ride","Sacramento","ride","ns","16.970375000000018;29.421900000000008","0.000000000000000;37.155000000000008","FALSE","12"
"San_Antonio__ride","San_Antonio","ride","ns","3.9995000000000012;22.6650000000000063","0.000000000000000;65.123999999999953","FALSE","12"
"San_Bernardino__ride","San_Bernardino","ride","ns","6.9000000000000057;13.8525999999999954","0.000000000000000;29.989999999999995","FALSE","12"
"San_Jose__ride","San_Jose","ride","ns","16.616999999999997;27.208199999999994","0.000000000000000;39.813000000000002","FALSE","12"
"Scottsdale__ride","Scottsdale","ride","ns","4.7670000000000172;12.7190000000000154","0.000000000000000;53.035000000000011","FALSE","12"
"St_Louis__ride","St_Louis","ride","ns","5.2149999999999999;19.1609000000000407","0.000000000000000;49.135000000000019","FALSE","8"
"St_Petersburg__ride","St_Petersburg","ride","ns","2.3494999999999990;7.1335999999999995","0.000000000000000;14.230000000000004","FALSE","8"
"Tallahassee__ride","Tallahassee","ride","ns","2.8279999999999994;7.4919999999999956","0.000000000000000;17.289999999999999","FALSE","12"
"Tampa__ride","Tampa","ride","ns","3.4899999999999984;9.5985000000000085","0.000000000000000;14.489999999999997","FALSE","8"
"Tucson__ride","Tucson","ride","ns","4.558625000000017;15.637500000000010","0.000000000000000;47.181499999999986","FALSE","12"
"Virginia_Beach__ride","Virginia_Beach","ride","ns","3.8135000000000017;12.0740000000000691","0.000000000000000;33.415000000000006","FALSE","12"
"Visalia__ride","Visalia","ride","ns","8.8437499999999929;27.6465999999999852","0.000000000000000;64.919999999999987","FALSE","12"
"Washington__ride","Washington","ride","ns","6.1750000000000043;13.9633250000000011","0.000000000000000;28.817499999999999","FALSE","12"
"Abilene__run","Abilene","run","ns","7.2349999999999959;25.8699999999999939","0.000000000000000;57.785000000000025","FALSE","12"
"Amarillo__run","Amarillo","run","ns","7.2154999999999951;16.7754000000000012","0.000000000000000;33.317000000000014","FALSE","12"
"Arlington__run","Arlington","run","ns","9.1599999999999895;42.0780000000000030","0.000000000000000;75.629999999999981","FALSE","12"
"Atlanta__run","Atlanta","run","ns","4.9449999999999967;14.5700000000000038","0.000000000000000;19.170000000000009","FALSE","8"
"Austin__run","Austin","run","ns","6.1260000000000012;38.4609999999999985","0.000000000000000;99.437500000000057","FALSE","12"
