term,estimate,std.error,statistic,p.value,conf.low,conf.high,city,lag,pct,pct_low,pct_high,n_obs
post10,0.4593000170100136,0.1822687447340905,2.5199055256570753,0.011738633599280502,0.10205984182387168,0.8165401921961555,Amarillo,10,58.296554813883695,10.744974155744092,126.26579180654574,27395
post11,0.5874673658154088,0.2502094331963879,2.347902548319628,0.018879460131303278,0.09706588815830808,1.0778688434725097,Amarillo,11,79.94253533908726,10.193297556351899,193.8410660385235,27395
post12,0.546645371295056,0.17652113050502075,3.096770169843819,0.0019564149286650104,0.20067031299492072,0.8926204295951912,Amarillo,12,72.74483392550688,22.222175476236327,144.15191049968587,27395
post1,0.43601818269662024,0.042149333414832076,10.344604466346988,4.427407228572167e-25,0.35340700723117874,0.5186293581620618,Arlington,1,54.653691470526034,42.39105674082164,67.97237714862577,21916
post2,0.5879021044006635,0.05541609497647711,10.608869222023218,2.710089717025004e-26,0.4792885540829174,0.6965156547184096,Arlington,2,80.02078030914916,61.492506155308305,100.67483076860842,21916
post3,0.2901427426397119,0.13624583718901087,2.1295530830582603,0.03320852797630192,0.023105808705742747,0.5571796765736811,Arlington,3,33.661826682870746,2.3374815783580027,74.57419937115115,21916
post4,0.09369467723878923,0.02685158469071471,3.489353731557933,4.841899596410767e-4,0.041066538317161325,0.14632281616041715,Arlington,4,9.822438182194638,4.192143093768541,15.756980998342641,21916
post5,-0.01451890740139696,0.047646540414646485,-0.30472112508159915,0.7605785588476512,-0.10790441060203618,0.07886659579924227,Arlington,5,-1.441401631359196,-10.228659578693478,8.205996109706648,21916
post6,0.2561914158893892,0.12090111873882657,2.1190160898578605,0.03408910720132178,0.01922957747068854,0.49315325430808987,Arlington,6,29.200001360344107,1.9415656622924882,63.7471451714952,21916
post7,0.25337003744202635,0.1508848495271453,1.6792278233106712,0.09310765140474035,-0.04235883344392377,0.5490989083279765,Arlington,7,28.83599300523485,-4.147423224780889,73.169190146761,21916
post8,0.27690053485241334,0.042792871975672775,6.470716314853275,9.753940743636293e-11,0.19302804698506132,0.36077302271976536,Arlington,8,31.903516648242068,21.29168117017619,43.44378391261934,21916
post9,0.1777049947400119,0.05431115490698476,3.2719796705548956,0.0010679725506874814,0.07125708716354597,0.28415290231647783,Arlington,9,19.447289346684805,7.385726530212922,32.86360667547792,21916
post10,-0.0165507306497502,0.10106808399922378,-0.16375823103441156,0.8699214745033275,-0.21464053527469767,0.18153907397519725,Arlington,10,-1.6414519805521333,-19.316858451060938,19.906138788930726,21916
post11,-0.0683054008691516,0.01196557904614549,-5.70849104800783,1.1398217186403222e-8,-0.09175750485376388,-0.04485329688453931,Arlington,11,-6.60248068187731,-8.76736425634519,-4.3862260070044234,21916
post12,-0.3175211924921244,0.04630510807656395,-6.857152605434237,7.024658009636366e-12,-0.4082775366224245,-0.2267648483618243,Arlington,12,-27.204874649036594,-33.52056515614559,-20.289179844729887,21916
post1,-2.800239152783925,0.2769708232230936,-10.11023154062837,4.976652024158337e-24,-3.343091991069598,-2.2573863144982518,Atlanta,1,-93.9204478531701,-96.46724438137649,-89.5376419157957,65748
post2,-2.5416586914647032,0.12896445379338156,-19.708211190788923,1.833339015711202e-86,-2.794424376185611,-2.2888930067437956,Atlanta,2,-92.12643068025871,-93.88499363634033,-89.86213747851767,65748
post3,-1.9598711675814475,0.08826118406835139,-22.205357748924833,3.0485800026646943e-109,-2.1328599095882765,-1.7868824255746185,Atlanta,3,-85.91234307788946,-88.15020845366523,-83.25185073686173,65748
post4,-2.480142565333684,0.14790548583305435,-16.76842850935969,4.153490011661931e-63,-2.77003199068237,-2.1902531399849985,Atlanta,4,-91.62687124377096,-93.73399998260733,-88.81115784012354,65748
post5,-1.9917897974210692,0.1875020288268719,-10.622763976917648,2.3354181582939263e-26,-2.359287020949929,-1.6242925738922094,Atlanta,5,-86.35490128616323,-90.55124331582043,-80.29489750518258,65748
post6,-1.926341108906283,0.16437540471002543,-11.719156599520106,1.0167921803869899e-31,-2.248510982082128,-1.6041712357304376,Atlanta,6,-85.43197472950217,-89.44437172019882,-79.89438859949503,65748
post7,-2.365707768695021,0.21286186946575267,-11.113816554522177,1.0746602822801823e-28,-2.782909366529762,-1.9485061708602796,Atlanta,7,-90.61171704794732,-93.81417230742113,-85.75132364363395,65748
post8,-2.267267695880543,0.13628249881061147,-16.636528649443907,3.7895977372449057e-62,-2.534376485272464,-2.000158906488622,Atlanta,8,-89.64051536323953,-92.06888444754607,-86.46862207094296,65748
post9,-2.095417438951126,0.16446309068981943,-12.740958656207695,3.500666389604985e-37,-2.4177591734893165,-1.7730757044129353,Atlanta,9,-87.69811199381301,-91.08789012047764,-83.01901002539279,65748
post10,-1.903235407499037,0.0757700244368735,-25.118579829477092,3.1168527116340983e-139,-2.051741926503029,-1.7547288884950452,Atlanta,10,-85.09145142213868,-87.14891479553063,-82.70458742105676,65748
post11,-2.235369242520743,0.10837103323355209,-20.626999446459685,1.5710069199200492e-94,-2.447772564625898,-2.022965920415588,Atlanta,11,-89.30473688978542,-91.35139858830217,-86.77373975843096,65748
