scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label,dtw4lag12_cluster,dtw4lag12_cluster_label,dtw4lag12_cluster_color
ssp245,Scottsdale,exceeded_quantity,composite,all,Scottsdale,2025-2050,37960.0,4117.0,0.29890454223440305,0.0,0.6938863685427589,0.3043358013629545,0.0,0.7232826726191648,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,St_Louis,exceeded_quantity,composite,all,St Louis,2025-2050,66430.0,9390.0,0.49777957843302817,0.00034229122952098283,1.1237390208011953,0.5103800821199214,0.0003444355470986531,1.1877173630775204,SSP2-4.5,Exceeded cumulative intensity,Compound,3,C3,#5EA4CE
ssp245,St_Petersburg,exceeded_quantity,composite,all,St Petersburg,2025-2050,18980.0,2076.0,0.15171957302353334,0.0,0.36472808084103686,0.15309092178481343,0.0,0.3727129189293713,SSP2-4.5,Exceeded cumulative intensity,Compound,3,C3,#5EA4CE
ssp245,Tallahassee,exceeded_quantity,composite,all,Tallahassee,2025-2050,94900.0,11431.0,0.2379266721396957,0.0,0.5623490392845824,0.24118176680040238,0.0,0.5805642904402121,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Tampa,exceeded_quantity,composite,all,Tampa,2025-2050,94900.0,8566.0,0.14084494466368366,0.0,0.3374291511639562,0.14226668897005001,0.0,0.3456502588813475,SSP2-4.5,Exceeded cumulative intensity,Compound,3,C3,#5EA4CE
ssp245,Tucson,exceeded_quantity,composite,all,Tucson,2025-2050,132860.0,13699.0,0.3249045118373548,0.0,0.7448593175499041,0.331764349150779,0.0,0.7809918718832868,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Virginia_Beach,exceeded_quantity,composite,all,Virginia Beach,2025-2050,18980.0,2244.0,0.314093285507107,0.0,0.7289333692096291,0.3198321485686034,0.0,0.759864294423431,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Visalia,exceeded_quantity,composite,all,Visalia,2025-2050,56940.0,6583.0,0.3666322836682621,0.0,0.8413196843251157,0.3743122864419223,0.0,0.8819325790120542,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Washington,exceeded_quantity,composite,all,Washington,2025-2050,66430.0,5413.0,0.2887631723043881,0.0,0.6574477730509589,0.2953619962904481,0.0,0.6918353155876779,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp370,Abilene,exceeded_quantity,composite,all,Abilene,2025-2050,85410.0,15395.0,0.5704758274295548,0.0,1.3021310661813015,0.5831610374120892,0.0,1.3683842755877345,SSP3-7.0,Exceeded cumulative intensity,Compound,2,C2,#E39D00
