scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label,dtw4lag12_cluster,dtw4lag12_cluster_label,dtw4lag12_cluster_color
ssp245,New_York,cehwi,composite,all,New York,2025-2050,180310.0,8492.0,0.14397716783154396,0.004652289737503655,0.2771676625093902,0.14741060253227034,0.004656481517282585,0.2901936628333017,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Newark,cehwi,composite,all,Newark,2025-2050,28470.0,837.0,0.08581849765755457,0.002707271907274955,0.1655672519965341,0.08768266681703044,0.0027094039321914963,0.17265592970186944,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,Oklahoma_City,cehwi,composite,all,Oklahoma City,2025-2050,275210.0,44069.0,0.6793297103257798,0.019284480816306456,1.3287854629737221,0.7021353847639338,0.019308107954852802,1.4212194577607826,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Orlando,cehwi,composite,all,Orlando,2025-2050,123370.0,10869.0,0.12691235558258135,0.003581918356700773,0.24722193511757715,0.12855188997819111,0.003583319737118042,0.25352046021926467,SSP2-4.5,CEHWI,Compound,3,C3,#5EA4CE
ssp245,Overland_Park,cehwi,composite,all,Overland Park,2025-2050,56940.0,8842.0,0.6238242829589474,0.01804832101103001,1.2270635904519132,0.645262269657563,0.018068645190165773,1.3276620040584586,SSP2-4.5,CEHWI,Compound,3,C3,#5EA4CE
ssp245,Palm_Bay,cehwi,composite,all,Palm Bay,2025-2050,56940.0,3601.0,0.058778431758314514,0.0015911517863103541,0.11508245984068532,0.05925265158075992,0.0015915130187703587,0.11691379014274984,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Philadelphia,cehwi,composite,all,Philadelphia,2025-2050,151840.0,7462.0,0.1307790407372059,0.004089149501156938,0.2525070741939293,0.13352981310057574,0.004092287594331333,0.26296786026695235,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,Phoenix,cehwi,composite,all,Phoenix,2025-2050,294190.0,33119.0,0.26541886731716446,0.008104851301990174,0.5133277078918347,0.27060754787322266,0.008110348041446475,0.5331047477049993,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Raleigh,cehwi,composite,all,Raleigh,2025-2050,142350.0,17193.0,0.36193950480958303,0.011592734776188652,0.6967683858227678,0.37092323485456813,0.011603469466905905,0.7309481172288012,SSP2-4.5,CEHWI,Compound,3,C3,#5EA4CE
ssp245,Richmond,cehwi,composite,all,Richmond,2025-2050,75920.0,6962.0,0.25252088667652195,0.00775149714159306,0.48823902004384107,0.25826237759613996,0.007757792782911381,0.51030788671206,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Riverside,cehwi,composite,all,Riverside,2025-2050,56940.0,1224.0,0.06425265073008789,0.002034077755144682,0.12390611356165944,0.06567599418742366,0.002035721737191667,0.1293162666376557,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Sacramento,cehwi,composite,all,Sacramento,2025-2050,123370.0,1164.0,0.03860924422284682,0.001299251067962677,0.0740148837345814,0.03967532389442617,0.001300587651611006,0.07805006013724133,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,San_Antonio,cehwi,composite,all,San Antonio,2025-2050,256230.0,44594.0,0.5313406980107453,0.017449824169623297,1.0211436020079172,0.5453657371207195,0.017467370275321213,1.0744227790829675,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,San_Bernardino,cehwi,composite,all,San Bernardino,2025-2050,66430.0,1575.0,0.06634950626456108,0.0020640939254967234,0.1281295242421862,0.06773515972157852,0.002065627028170897,0.13340469241498618,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,San_Jose,cehwi,composite,all,San Jose,2025-2050,180310.0,2332.0,0.05838114886149283,0.0019395543258067494,0.11169251780104027,0.06016351465802489,0.0019417474259708447,0.11844461290410667,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,Scottsdale,cehwi,composite,all,Scottsdale,2025-2050,37960.0,4117.0,0.2594996540214643,0.007942473212951643,0.5017813992896775,0.2646195966516457,0.007947935914837004,0.5212912573884546,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
