scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label
ssp245,Chicago,exceeded_quantity,composite,all,Chicago,2025-2050,246740.0,22271.0,0.342332192285197,8.139316390263694e-05,0.772554433799212,0.35098987486624433,8.186760891566086e-05,0.8168488413728913,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Chicago,exceeded_quantity,day,all,Chicago,2025-2050,246740.0,37773.0,0.3284948152659333,0.01768315664607773,0.7030215836891119,0.3355508060547357,0.017968724818550007,0.7312050130742223,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Chicago,exceeded_quantity,night,all,Chicago,2025-2050,246740.0,8279.0,0.007635699017605169,0.0,0.053733602155853155,0.007655098957852117,0.0,0.05445141680219373,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Cincinnati,cehwi,composite,all,Cincinnati,2025-2050,113880.0,4586.0,0.12316740893763868,0.0036713430811489735,0.23808612564727719,0.12622997313689896,0.0036746052128438303,0.24989429792456122,SSP2-4.5,CEHWI,Compound
ssp245,Cincinnati,cehwi,day,all,Cincinnati,2025-2050,113880.0,23048.0,0.3002066430125941,0.0014377806749562752,0.7020311966222904,0.30486407279004174,0.0014434339337537744,0.7257358926981321,SSP2-4.5,CEHWI,Daytime
ssp245,Cincinnati,cehwi,night,all,Cincinnati,2025-2050,113880.0,1913.0,0.0,0.0,0.00412077311319333,0.0,0.0,0.004130804754820419,SSP2-4.5,CEHWI,Nighttime
ssp245,Cincinnati,exceeded_quantity,composite,all,Cincinnati,2025-2050,113880.0,4586.0,0.1458467065451012,0.0,0.3337635476025562,0.14901018129092516,0.0,0.35055553019990937,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Cincinnati,exceeded_quantity,day,all,Cincinnati,2025-2050,113880.0,23048.0,0.39564846931416453,0.010131458510845907,0.873377074948324,0.4025673891068811,0.010240330005436763,0.9039647543796951,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Cincinnati,exceeded_quantity,night,all,Cincinnati,2025-2050,113880.0,1913.0,0.0025110430315563683,0.0,0.0194705226029927,0.0025144545132667327,0.0,0.019656421992948588,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Clearwater,cehwi,composite,all,Clearwater,2025-2050,47450.0,5388.0,0.1371495023233196,0.003870627599221188,0.26738025470328985,0.1388084492250175,0.0038721368770651917,0.27374476157297034,SSP2-4.5,CEHWI,Compound
