city,lag,estimate,std.error,p.value,n_obs,pct,sig05,sig01,sig001,stars,direction,inside_plot_range,plot_ymin_pct,plot_ymax_pct
Philadelphia,8,0.3796127875565568,0.0443033613769761,1.0485328856754809e-17,71227,46.17184842538986,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Philadelphia,9,0.3544858374788698,0.0426243194886231,9.058672433604696e-17,71227,42.54475541231509,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Philadelphia,10,0.3721407727175015,0.0353036779407718,5.582214144974562e-26,71227,45.083720521427374,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Philadelphia,11,0.2612092120103426,0.0362662193976709,5.909731639484517e-13,71227,29.84992986669344,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Philadelphia,12,0.272320437435452,0.047768625518678,1.1923099478785245e-08,71227,31.30076707191296,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Phoenix,1,-0.0215056474504974,0.0363444248206197,0.5540394947887646,180807,-2.1276049841519207,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Phoenix,2,-0.1267752779651512,0.0275379600889551,4.151392164300784e-06,180807,-11.906838489958917,True,True,True,***,PA_down,True,-99.58977602962183,143.3024128495964
Phoenix,3,-0.0184880661037945,0.057775390713308,0.7489691036913342,180807,-1.8318210189526285,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Phoenix,4,-0.0332738284386594,0.0472721686915024,0.4815088996375444,180807,-3.2726343713399,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Phoenix,5,-0.0060881403929655,0.0405076528516173,0.8805310458367559,180807,-0.606964521901665,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Phoenix,6,-0.0090478566473434,0.0486798865137256,0.8525511205474676,180807,-0.9007047962174997,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Phoenix,7,-0.0292637184851805,0.0414963640785255,0.4806785457877485,180807,-2.883968223508915,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Phoenix,8,-0.0381232504798006,0.040526933633668,0.3468641336403334,180807,-3.740570662884346,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Phoenix,9,-0.1954904232568046,0.0451869745658546,1.5166509653975764e-05,180807,-17.756878026094448,True,True,True,***,PA_down,True,-99.58977602962183,143.3024128495964
Phoenix,10,-0.12652246690917,0.0543324261057781,0.0198763826368038,180807,-11.884564749367533,True,False,False,*,PA_down,True,-99.58977602962183,143.3024128495964
Phoenix,11,-0.2510342928351145,0.0404424667612131,5.39385238332581e-10,180807,-22.200430857647454,True,True,True,***,PA_down,True,-99.58977602962183,143.3024128495964
Phoenix,12,-0.1766058462692998,0.0662569293879673,0.0076880829877841,180807,-16.18899363633347,True,True,False,**,PA_down,True,-99.58977602962183,143.3024128495964
Raleigh,1,-0.3830877644252203,0.0809983702625057,2.249917327102292e-06,65748,-31.824693700543584,True,True,True,***,PA_down,True,-99.58977602962183,143.3024128495964
Raleigh,2,-0.1874472845523173,0.0465327762645322,5.618520937280258e-05,65748,-17.09271780265704,True,True,True,***,PA_down,True,-99.58977602962183,143.3024128495964
Raleigh,3,-0.1331100369644421,0.067648545096508,0.0491059785275638,65748,-12.463123611250982,True,False,False,*,PA_down,True,-99.58977602962183,143.3024128495964
Raleigh,4,0.0368537840169849,0.0612770033785968,0.5475541016821168,65748,3.754130462498528,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Raleigh,5,0.1019034507828141,0.0376302610552068,0.0067686207615834,65748,10.727655988182416,True,True,False,**,PA_up,True,-99.58977602962183,143.3024128495964
Raleigh,6,-0.2896144298443965,0.0716713793417802,5.325421453099626e-05,65748,-25.144786869404545,True,True,True,***,PA_down,True,-99.58977602962183,143.3024128495964
Raleigh,7,0.0175280675967551,0.0293673293450003,0.5506035060382406,65748,1.768258565434433,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Raleigh,8,0.0744169098696537,0.0691920883839704,0.2821456369014477,65748,7.725583047611062,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Raleigh,9,-0.0275130706914042,0.0608636366020017,0.6512369423638003,65748,-2.713803350819255,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Raleigh,10,-0.0275130706913842,0.0655617983441422,0.6747404652353146,65748,-2.713803350817312,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Raleigh,11,0.1324912843873291,0.0732954664543549,0.0706636801200157,65748,14.166906570044802,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Raleigh,12,0.1928869946771035,0.0727429313054692,0.0080105392048482,65748,21.27457390514904,True,True,False,**,PA_up,True,-99.58977602962183,143.3024128495964
Richmond,1,-0.0196823857982473,0.0567315489958508,0.7286371607525666,38353,-1.948995222820482,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Richmond,2,0.1041558776206526,0.0868435928260176,0.230391815589323,38353,10.977343027551337,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Richmond,3,0.172769889470494,0.0597085831912225,0.0038091122958789,38353,18.859256594840424,True,True,False,**,PA_up,True,-99.58977602962183,143.3024128495964
Richmond,4,0.1699138064432397,0.0186381654952339,7.762913809045756e-20,38353,18.52026900822685,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Richmond,5,-0.0650413280328521,0.0216755062852696,0.0026937463954102,38353,-6.2971262977260185,True,True,False,**,PA_down,True,-99.58977602962183,143.3024128495964
Richmond,6,-0.0663305193562406,0.0256466760581703,0.0097006733821293,38353,-6.41784939517438,True,True,False,**,PA_down,True,-99.58977602962183,143.3024128495964
Richmond,7,0.0727004288343439,0.0344448119446682,0.0348036889536304,38353,7.540832732858838,True,False,False,*,PA_up,True,-99.58977602962183,143.3024128495964
Richmond,8,0.1784265083785198,0.0923312116754696,0.0533025741748367,38353,19.533503293560383,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Richmond,9,-0.0038950484154109,0.0859622496245322,0.9638592998900132,38353,-0.3887472553639748,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Richmond,10,0.2368372705350137,0.0945737357855364,0.0122707651839416,38353,26.723488454085363,True,False,False,*,PA_up,True,-99.58977602962183,143.3024128495964
Richmond,11,0.1803044432027415,0.0297316594036998,1.3245358640584924e-09,38353,19.758190329829063,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Richmond,12,0.1708793027431901,0.0519833623574639,0.0010119174704899,38353,18.634755148502325,True,True,False,**,PA_up,True,-99.58977602962183,143.3024128495964
Riverside,1,-0.1891079394954974,0.0735771928621926,0.0101640461502945,32874,-17.23028393411088,True,False,False,*,PA_down,True,-99.58977602962183,143.3024128495964
Riverside,2,-0.0493459971203394,0.1063596631499009,0.6426806627586071,32874,-4.814826524227578,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Riverside,3,-0.3814798321429049,0.0456432612446158,6.386801449868628e-17,32874,-31.71498424563816,True,True,True,***,PA_down,True,-99.58977602962183,143.3024128495964
Riverside,4,-0.267069480965226,0.3559973929815145,0.4531338583420608,32874,-23.43801263905385,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Riverside,5,0.2491469914356992,0.1252266220814781,0.0466384460576182,32874,28.293059902133443,True,False,False,*,PA_up,True,-99.58977602962183,143.3024128495964
Riverside,6,-0.2144257474797271,0.1914020927539926,0.2625904313203653,32874,-19.29952683575325,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Riverside,7,-0.3516268689932866,0.2189925109752711,0.10834928322653,32874,-29.645741343995248,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Riverside,8,-0.3226393321200508,0.1644105068596706,0.0497158241899182,32874,-27.57649844234925,True,False,False,*,PA_down,True,-99.58977602962183,143.3024128495964
Riverside,9,0.2163571686126758,0.0286727418091269,4.4971277574305374e-14,32874,24.154574098834768,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Riverside,10,-0.2404012338830108,0.1135090872328025,0.0341832853564506,32874,-21.368769737402417,True,False,False,*,PA_down,True,-99.58977602962183,143.3024128495964
Riverside,11,0.1995500502962333,0.2562475783766437,0.4361333225266087,32874,22.085331197180057,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Riverside,12,0.3561191109879283,0.2666914926729008,0.1817708663847024,32874,42.77776021367339,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Sacramento,1,0.5468835417713095,0.2383464603658101,0.0217623755718747,65748,72.7859815447528,True,False,False,*,PA_up,True,-99.58977602962183,143.3024128495964
Sacramento,2,-0.3975780670700554,0.2339972125216388,0.0893056544131598,65748,-32.80545162151953,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Sacramento,3,-0.0409031231312363,0.3485114936358094,0.9065706553227568,65748,-4.007788030733872,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Sacramento,4,0.8551849014255875,0.1868956606170042,4.745523197100904e-06,65748,135.18091932474627,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Sacramento,5,0.2592014693192455,0.146212518764009,0.0762664835393707,65748,29.58948615852792,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Sacramento,6,-0.0409031231312636,0.1325011539677782,0.7575496467872708,65748,-4.007788030736492,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Sacramento,7,0.4291005061148427,0.2433266812171026,0.0778204191712358,65748,53.58753915087857,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Sacramento,8,0.6009507630409616,0.1325239367800726,5.769682978413702e-06,65748,82.38520274156976,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Sacramento,9,0.6769366700184689,0.132956009127365,3.553666348659152e-07,65748,96.78403453687524,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Sacramento,10,0.4291005061147351,0.1578079092728861,0.0065453519398242,65748,53.58753915086205,True,True,False,**,PA_up,True,-99.58977602962183,143.3024128495964
