city,mu,se,lo,hi,p,n_obs,pct,pct_lo,pct_hi,rank_by_overall_effect
Nashville,0.08267661641806653,0.026688414599374422,0.03036732380329267,0.1349859090328404,0.0019493225264357594,126017.0,8.61904955737549,3.0833113958515845,14.452065683469971,38
Clearwater,0.1261818626260317,2.886751345948129e-07,0.1261812968227679,0.1261824284292955,0.0,5479.0,13.448847057557956,13.448782867848186,13.448911247304052,39
Las Vegas,0.1758708524502455,0.01429957250475425,0.14784369034092718,0.20389801455956383,0.0,82185.0,19.228406814112333,15.933166746173576,22.617309527608942,40
Abilene,0.18204376683531356,0.025053079152998176,0.13293973169543716,0.23114780197518997,3.694822225952521e-13,21916.0,19.966669834570048,14.218115893454563,26.004546289504084,41
Austin,0.1886199212084168,0.007579077535718575,0.1737649292384084,0.20347491317842523,0.0,120538.0,20.758188898317552,18.977585142979446,22.565440948203875,42
Dallas,0.18906397684273346,0.009835396471537484,0.16978659975852,0.20834135392694692,0.0,147933.0,20.811824160126502,18.505193396613826,23.163352073938515,43
Houston,0.20434640306344773,0.00847391205768381,0.18773753543038746,0.220955270696508,0.0,295866.0,22.67230204766384,20.65168058747313,24.72676399035345,44
Kansas City,0.23357061272731658,0.012814291354006179,0.20845460167346447,0.2586866237811687,0.0,197244.0,26.310201582019044,23.177300835832447,29.522784761729138,45
Bakersfield,0.2383072123925678,0.011480779912270068,0.21580488376451848,0.26080954102061715,0.0,76706.0,26.909901588768335,24.08602433996956,29.79804298623896,46
Fort Worth,0.2519134713718478,0.011312397895259358,0.22974117149713943,0.2740857712465561,0.0,131496.0,28.648471471111247,25.82742905277584,31.532761468976457,47
Virginia Beach,0.27172426141431194,0.011251795295538046,0.24967074263505737,0.2937777801935665,0.0,54790.0,31.222512032234317,28.360271145574778,34.148576583491554,48
San Bernardino,0.27908377921832395,0.08664070961929378,0.10926798836450813,0.44889957007213976,0.0012767186743136705,38353.0,32.19180884945676,11.546124092368725,56.658731704751574,49
Baltimore,0.2857890587691151,0.010321082326507507,0.2655597374091604,0.3060183801290698,0.0,49311.0,33.081170258355705,30.4160759080224,35.800726666734576,50
St. Louis,0.2979024721570867,0.012448119453562046,0.27350415802810507,0.32230078628606834,0.0,38353.0,34.70304085030047,31.45628251898678,38.029988880120456,51
Philadelphia,0.3069371269461056,0.013619350258157166,0.2802432004401175,0.33363105345209365,0.0,71227.0,35.92555048407296,32.34516372225207,39.602798884080514,52
Fresno,0.3152782704016592,0.014426490654227327,0.28700234871937363,0.3435541920839447,0.0,65748.0,37.06406666233701,33.242734296991514,40.994992853743554,53
Sacramento,0.3562776143816913,0.05029376370469151,0.25770183752049597,0.45485339124288665,1.4011014570769476e-12,65748.0,42.800392766842,29.395295288096037,57.59423191517175,54
Overland Park,0.3743913924623607,0.009606437673896335,0.35556277462152386,0.39322001030319753,0.0,32874.0,45.41061652880967,42.69834984483896,48.174435249457574,55
Oklahoma City,0.39803868629987627,0.013924339708673404,0.3707469804708764,0.42533039212887613,0.0,115059.0,48.890162888802614,44.88164481514305,53.00958677918837,56
New York,0.403027583999689,0.018219393087753017,0.3673175735476931,0.4387375944516849,0.0,164370.0,49.634816636167486,44.38563769062647,55.07483090330296,57
Visalia,0.42000151349975484,0.003755560384412775,0.4126406151463058,0.4273624118532039,0.0,10958.0,52.19638591088183,51.080196901202825,53.32082138787344,58
San Jose,0.4361823959992125,0.02863051303132528,0.38006659045781493,0.49229820154061005,0.0,82185.0,54.67908974927105,46.23819668766589,63.607192563808425,59
Amarillo,0.4544119716445003,0.028199137699999124,0.39914166175250204,0.5096822815364986,0.0,27395.0,57.524682084070335,49.05447568343797,66.47621852286731,60
Boston,0.48974822387662054,0.021619372081854483,0.44737425459618574,0.5321221931570553,0.0,43832.0,63.19052934383027,56.41995986432433,70.25415995899039,61
Lubbock,0.7836489303275028,0.025743336786067803,0.7331919902268099,0.8341058704281957,0.0,32874.0,118.94468463030022,108.17148272427795,130.27541669265824,62
Los Angeles,0.8027327606737952,0.030160651130651375,0.7436178844577185,0.8618476368898719,0.0,208202.0,123.16311169434036,110.35321005158534,136.75309926997383,63
