scenario,city_standard,model_key,indicator,heatwave_type,activity_type,curve_scope,partition_family,partition_name,denominator_id,denominator_label,denominator_months,period,n_days,heatwave_days,pa_loss_fraction_percent_all_days,pa_loss_fraction_low_percent_all_days,pa_loss_fraction_high_percent_all_days,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,benefit_adjusted_asri_percent,benefit_adjusted_asri_low_percent,benefit_adjusted_asri_high_percent,exposure_clipped_share,lon,lat
ssp245,Baltimore,cehwi_composite_all,cehwi,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,75920.0,6164.0,0.2470967294605084,0.0077522813173266,0.4772764545036042,0.2532821413178004,0.0077594942309013,0.5010805276269692,0.2532821413178004,0.0054837550086318,0.5010805276269692,0.0,-76.61681942327382,39.29956644320838
ssp245,Baltimore,cehwi_day_all,cehwi,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,75920.0,10167.0,0.1404893904959291,0.001900502076132,0.3368054544308108,0.1422651894563115,0.0019179224832651,0.345834511780634,0.1422651894563115,-0.0613041328680125,0.345834511780634,0.0,-76.61681942327382,39.29956644320838
ssp245,Baltimore,cehwi_night_all,cehwi,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,75920.0,3673.0,0.0,0.0,0.0141277640091998,0.0,0.0,0.0141652215801402,-0.0119532645219179,-0.0380717506239766,0.0141652215801402,0.0,-76.61681942327382,39.29956644320838
ssp245,Baltimore,exceeded_quantity_composite_all,exceeded_quantity,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,75920.0,6164.0,0.2755024463821133,0.0,0.6286882190113522,0.2816618080923505,0.0,0.6608733167256093,0.2816618080923505,-0.0975497005409078,0.6608733167256093,0.0,-76.61681942327382,39.29956644320838
ssp245,Baltimore,exceeded_quantity_day_all,exceeded_quantity,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,75920.0,10167.0,0.2327386291578085,0.0041451543621665,0.5247074260854828,0.2363029381661774,0.0041930341283212,0.5412414011745695,0.2363029381661774,-0.0686355248422142,0.5412414011745695,0.0,-76.61681942327382,39.29956644320838
ssp245,Baltimore,exceeded_quantity_night_all,exceeded_quantity,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,75920.0,3673.0,0.0104969492628844,0.0,0.0762761523232007,0.0105193055452721,0.0,0.0772226229025588,0.0105193055452721,-0.0561840118120145,0.0772226229025588,0.0,-76.61681942327382,39.29956644320838
ssp245,Boston,cehwi_composite_all,cehwi,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,56940.0,506.0,0.030404019212832,0.0010090884484688,0.0584496417331156,0.0311591630859104,0.0010100782183964,0.0613082479534243,0.0311591630859104,0.0010100782183964,0.0613082479534243,0.0,-71.06747675562549,42.31262407379619
ssp245,Boston,cehwi_day_all,cehwi,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,56940.0,9210.0,0.2682251333147351,0.0010718903716323,0.6329593043804468,0.2722247844035202,0.0010779897899487,0.6540886936955653,0.2722247844035202,-0.109639124888526,0.6540886936955653,0.0,-71.06747675562549,42.31262407379619
ssp245,Boston,cehwi_night_all,cehwi,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,56940.0,191.0,0.0,0.0,0.0015163204452797,0.0,0.0,0.0015212049136193,-0.0012817734380638,-0.004084751789747,0.0015212049136193,0.0,-71.06747675562549,42.31262407379619
ssp245,Boston,exceeded_quantity_composite_all,exceeded_quantity,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,56940.0,506.0,0.0387909327990005,0.0,0.0877017301025602,0.0397561533731635,0.0,0.0927531459838773,0.0397561533731635,-0.0132408392375501,0.0927531459838773,0.0,-71.06747675562549,42.31262407379619
